,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score
605131,Austin Barnes,4,48,42,29,6,0,7,29,22,0,33,3,151,8,16,5,177.0,60,75.0,0,1,0,0.219,0.328,0.397,0.725,23.0,1.14,0.1638418079096045,0.03954802259887006,0.1864406779661017,0.12994350282485875,0.12429378531073447,0.3389830508474576,0.22413793103448276,0.24329447852760733,0.03490249779086309,90.01437325062412,-0.6960670457793777,0.2921226730734212,0.04263181332518173,76.72733125310975,-1.5946950583680959,0.7157055214723926,0.09367391118124523,101.29864563689353,0.09922163396832971,81.13496932515338,39.68152776974481,40.67296786389414,-1.2130321595594888,41.9079754601227,24.43707207410392,54.88215488215488,-0.7737414450792397,31.220858895705522,17.96430773350769,70.46571035566909,-0.5132877388036743,134.54601226993864,69.22866052224,44.59440973963796,-1.0768085314317242
621035,Chris Taylor,3,50,86,42,24,3,9,146,42,2,82,4,361,1,10,4,410.0,139,182.0,0,3,0,0.227,0.312,0.385,0.697,37.0,0.58,0.35609756097560974,0.02195121951219512,0.2,0.09024390243902439,0.1024390243902439,0.33902439024390246,0.3492822966507177,0.24329447852760733,0.03490249779086309,93.30256953375195,-0.46685708929041037,0.2921226730734212,0.04263181332518173,119.56699320046621,1.3407739225470259,0.7157055214723926,0.09367391118124523,97.38642208126178,-0.19968763166299583,81.13496932515338,39.68152776974481,101.06616257088848,0.021799328893434514,41.9079754601227,24.43707207410392,88.28868394085785,-0.2008413874313406,31.220858895705522,17.96430773350769,134.525447042641,0.6000309760998374,134.54601226993864,69.22866052224,103.31038256349461,0.06433733798201244
641355,Cody Bellinger,127,92,137,65,23,3,17,138,38,0,91,2,454,2,14,7,498.0,171,221.0,0,4,0,0.2,0.263,0.377,0.64,58.0,0.67,0.27710843373493976,0.03413654618473896,0.1827309236947791,0.11646586345381527,0.07630522088353414,0.3433734939759036,0.24422442244224424,0.24329447852760733,0.03490249779086309,82.20490707819555,-1.2404406924406743,0.2921226730734212,0.04263181332518173,83.60337794829833,-1.1235330354311828,0.7157055214723926,0.09367391118124523,89.42225270015429,-0.8081814938410502,81.13496932515338,39.68152776974481,112.15879017013233,0.24860511248682862,41.9079754601227,24.43707207410392,138.3984775289123,0.658508699040508,31.220858895705522,17.96430773350769,121.7134997052466,0.37736723311913506,134.54601226993864,69.22866052224,127.09406775796819,0.5265736395166906
518692,Freddie Freeman,143,127,161,105,45,2,20,93,68,10,185,5,559,2,11,5,639.0,294,189.0,0,7,0,0.331,0.404,0.526,0.93,93.0,0.79,0.14553990610328638,0.03129890453834116,0.2895148669796557,0.14553990610328638,0.10641627543035993,0.460093896713615,0.36423841059602646,0.24329447852760733,0.03490249779086309,136.04912121441362,2.5128723450661625,0.2921226730734212,0.04263181332518173,124.68679913266433,1.6915944197008381,0.7157055214723926,0.09367391118124523,129.9417109549117,2.2876644716262478,81.13496932515338,39.68152776974481,228.01512287334594,2.6174655189067226,41.9079754601227,24.43707207410392,221.91480017566977,2.0907588431602555,31.220858895705522,17.96430773350769,217.80310473570447,2.0473453054744026,134.54601226993864,69.22866052224,218.512607724226,2.30329442354061
666158,Gavin Lux,28,106,81,62,18,7,6,81,46,0,108,0,373,2,7,3,422.0,158,177.0,0,3,0,0.29,0.365,0.424,0.789,42.0,1.31,0.19194312796208532,0.014218009478672985,0.2559241706161137,0.0995260663507109,0.10900473933649289,0.3744075829383886,0.35294117647058826,0.24329447852760733,0.03490249779086309,119.19711526338352,1.338171318060205,0.2921226730734212,0.04263181332518173,120.81950803657102,1.4265990267236137,0.7157055214723926,0.09367391118124523,110.24087090690897,0.7824428125542167,81.13496932515338,39.68152776974481,133.11153119092626,0.6770160370521285,41.9079754601227,24.43707207410392,100.2195871761089,0.003765776014337633,31.220858895705522,17.96430773350769,147.33739438003536,0.8226947190805397,134.54601226993864,69.22866052224,117.43194564771329,0.3387901420182276
593643,Hanser Alberto,5,49,36,12,8,2,2,25,2,0,33,0,143,1,0,6,145.0,51,76.0,0,0,0,0.231,0.241,0.357,0.598,14.0,1.36,0.1724137931034483,0.013793103448275862,0.22758620689655173,0.09655172413793103,0.013793103448275862,0.35172413793103446,0.2672413793103448,0.24329447852760733,0.03490249779086309,94.94666767531585,-0.35225211104592674,0.2921226730734212,0.04263181332518173,91.48258726332317,-0.583632077136619,0.7157055214723926,0.09367391118124523,83.55391736670667,-1.2565453922880385,81.13496932515338,39.68152776974481,40.67296786389414,-1.2130321595594888,41.9079754601227,24.43707207410392,33.40652905870297,-1.1420343392814605,31.220858895705522,17.96430773350769,6.40597366869719,-1.626606453707186,134.54601226993864,69.22866052224,37.90524827869227,-1.2068124912383524
608336,Joey Gallo,1,29,61,32,4,1,12,106,40,0,37,0,233,0,2,0,273.0,79,122.0,0,0,0,0.159,0.282,0.339,0.621,24.0,0.48,0.3882783882783883,0.04395604395604396,0.13553113553113552,0.08791208791208792,0.14652014652014653,0.2893772893772894,0.21739130434782608,0.24329447852760733,0.03490249779086309,65.35290112716545,-2.4151417194466314,0.2921226730734212,0.04263181332518173,74.41781292107635,-1.752948394560849,0.7157055214723926,0.09367391118124523,86.76752957311847,-1.0110127812337355,81.13496932515338,39.68152776974481,45.603024574669185,-1.112229589073536,41.9079754601227,24.43707207410392,57.268335529205096,-0.732820012390104,31.220858895705522,17.96430773350769,128.1194733739438,0.48869910460948623,134.54601226993864,69.22866052224,58.715972823856646,-0.8023557273955091
457759,Justin Turner,53,89,146,60,35,0,13,80,47,1,121,5,428,0,3,12,488.0,195,182.0,0,8,0,0.283,0.355,0.456,0.811,80.0,0.61,0.16393442622950818,0.02663934426229508,0.24795081967213115,0.16393442622950818,0.09631147540983606,0.39959016393442626,0.31486880466472306,0.24329447852760733,0.03490249779086309,116.31994351564667,1.1376126061323586,0.2921226730734212,0.04263181332518173,107.78649988102256,0.533548301541895,0.7157055214723926,0.09367391118124523,113.31476084347678,1.0173000926931153,81.13496932515338,39.68152776974481,149.13421550094517,1.0046243911314756,41.9079754601227,24.43707207410392,190.894451764017,1.5587802182014923,31.220858895705522,17.96430773350769,150.54038121438396,0.8783606548257153,134.54601226993864,69.22866052224,144.93183165382337,0.8732508656676992
571970,Max Muncy,24,77,133,66,19,1,20,128,78,1,83,2,415,0,2,2,501.0,164,191.0,0,6,0,0.2,0.325,0.395,0.72,62.0,0.58,0.2554890219560878,0.03992015968063872,0.1656686626746507,0.12375249500998003,0.15568862275449102,0.3273453093812375,0.23076923076923078,0.24329447852760733,0.03490249779086309,82.20490707819555,-1.2404406924406743,0.2921226730734212,0.04263181332518173,78.99737063929643,-1.4391469074094068,0.7157055214723926,0.09367391118124523,100.60003428767357,0.04584497939130729,81.13496932515338,39.68152776974481,102.29867674858222,0.046999971514922745,41.9079754601227,24.43707207410392,147.94320011711315,0.8221944297970506,31.220858895705522,17.96430773350769,249.8329730791904,2.6040046629261586,134.54601226993864,69.22866052224,121.89138662167709,0.4254594485559797
605141,Mookie Betts,121,113,173,110,34,3,34,90,51,0,140,7,512,1,12,8,574.0,282,179.0,0,4,0,0.273,0.345,0.551,0.896,77.0,0.65,0.156794425087108,0.059233449477351915,0.24390243902439024,0.13414634146341464,0.08885017421602788,0.4912891986062718,0.27040816326530615,0.24329447852760733,0.03490249779086309,112.20969816173691,0.851100160521151,0.2921226730734212,0.04263181332518173,92.56664688856335,-0.5093498989236931,0.7157055214723926,0.09367391118124523,125.19115378021601,1.9247032205024952,81.13496932515338,39.68152776974481,172.55198487712664,1.483436600939752,41.9079754601227,24.43707207410392,183.73590982286635,1.4360159201340852,31.220858895705522,17.96430773350769,163.35232855177836,1.1010243978064176,134.54601226993864,69.22866052224,209.5937257762984,2.1299558104651055
607208,Trea Turner,142,142,155,92,37,4,20,115,40,1,178,3,584,3,25,9,635.0,283,241.0,0,6,2,0.305,0.349,0.485,0.834,97.0,0.92,0.18110236220472442,0.031496062992125984,0.2803149606299213,0.15275590551181104,0.06299212598425197,0.4456692913385827,0.34725274725274724,0.24329447852760733,0.03490249779086309,125.3624832942482,1.7679399864770189,0.2921226730734212,0.04263181332518173,118.87223391436987,1.2931674700020754,0.7157055214723926,0.09367391118124523,116.52837304988857,1.2628327037474172,81.13496932515338,39.68152776974481,219.38752362948958,2.441061020556305,41.9079754601227,24.43707207410392,231.45952276387058,2.2544445739167984,31.220858895705522,17.96430773350769,128.1194733739438,0.48869910460948623,134.54601226993864,69.22866052224,210.3369659386257,2.144400694888064
