,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,94,43,-,-,-,-,-,119,1,1
1,San Diego Padres,2,77,62,18.0,2,+0.5,-,7,135,5,5
2,Arizona Diamondbacks,3,65,72,29.0,5,10.5,15,E,109,8,8
3,San Francisco Giants,4,65,73,29.5,6,11.0,14,E,137,9,9
4,Colorado Rockies,5,60,79,35.0,7,16.5,8,E,115,10,10
0,Atlanta Braves,1,87,51,-,-,-,-,-,144,2,2
1,New York Mets,2,87,52,0.5,1,+10.5,-,24,121,3,3
2,Philadelphia Phillies,3,76,62,11.0,3,-,-,14,143,6,6
3,Miami Marlins,4,57,80,29.5,9,18.5,7,E,146,12,12
4,Washington Nationals,5,49,90,38.5,12,27.5,E,E,120,15,15
0,St. Louis Cardinals,1,81,58,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,73,66,8.0,4,3.5,21,16,158,7,7
2,Chicago Cubs,3,58,80,22.5,8,18.0,7,2,112,11,11
3,Cincinnati Reds,4,56,80,23.5,10,19.0,7,2,113,13,13
4,Pittsburgh Pirates,5,51,86,29.0,11,24.5,1,E,134,14,14
