,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,94,42,-,-,-,-,-,119,1,1
1,San Diego Padres,2,76,62,19.0,3,-,-,7,135,6,6
2,San Francisco Giants,3,65,70,28.5,5,9.5,18,E,137,8,8
3,Arizona Diamondbacks,4,65,71,29.0,6,10.0,17,E,109,9,9
4,Colorado Rockies,5,59,79,36.0,7,17.0,9,E,115,10,10
0,New York Mets,1,87,51,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,86,51,0.5,1,+10.5,-,25,144,3,3
2,Philadelphia Phillies,3,75,61,11.0,2,-,-,15,143,5,5
3,Miami Marlins,4,55,80,30.5,9,19.5,8,E,146,12,12
4,Washington Nationals,5,48,89,38.5,12,27.5,E,E,120,15,15
0,St. Louis Cardinals,1,81,56,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,71,65,9.5,4,4.0,23,17,158,7,7
2,Chicago Cubs,3,57,79,23.5,8,18.0,9,3,112,11,11
3,Cincinnati Reds,4,54,80,25.5,10,20.0,8,2,113,13,13
4,Pittsburgh Pirates,5,50,86,30.5,11,25.0,2,E,134,14,14
