,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,7,72,91,34,12,0,12,50,18,0,70,2,.249,281,.297,.420,.717,1,1,.500,7,1116,303,118,38,113,0,2,.262,0.79,0,23.42,7,0,0,0,0,.000,0.00,-.--,0.0,7,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,146,120,197,89,38,0,21,74,83,1,135,10,.262,516,.368,.457,.825,2,1,.333,17,2396,619,236,90,245,0,10,.265,0.61,0,24.57,144,244,134,7,385,.982,2.61,2.66,1279.1,145,36,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,51,45,39,16,7,0,2,82,26,0,42,4,.203,207,.303,.266,.569,1,6,.857,6,972,,55,,,0,1,,1.15,0,,0,6,1,0,7,1.000,0.14,1.11,57.2,51,0,0,0,2.03,57.2,4,0,2,2,6,0,13,1.18,238,173,51,0,0,600,.620,4,0,7,0,1.000,16.86,17,3.15,12.80,4.06,6.55,2.50,0.31,23,8,,
676801,Chas McCormick,111,79,79,43,11,2,13,100,42,0,79,1,.235,336,.321,.396,.717,2,4,.667,5,1481,380,133,41,122,0,1,.295,1.00,0,25.85,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,26,25,6,1,0,0,13,4,0,20,0,.238,84,.273,.250,.523,3,14,.824,2,337,88,21,6,32,0,0,.282,1.04,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,0,3.04
664299,Cristian Javier,28,62,164,44,18,1,17,179,50,0,86,6,.176,488,.261,.322,.583,2,9,.818,3,2383,,157,,,2,1,,0.38,0,,23,1,2,0,3,1.000,0.11,0.20,136.2,28,0,0,0,2.77,136.2,10,9,0,0,1,0,42,1.00,547,410,28,0,0,1504,.630,6,1,5,0,.526,17.44,0,3.58,11.79,3.29,5.66,2.90,1.12,0,0,,
682073,David Hensley,11,9,3,4,2,0,0,6,4,0,6,0,.250,24,.357,.333,.690,0,0,.---,3,110,28,8,2,13,0,0,.333,3.00,0,-.--,4,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,29,270,100,65,22,1,11,182,63,0,155,11,.220,703,.294,.302,.596,0,7,1.000,24,2837,,212,,,2,2,,2.70,0,,29,23,6,1,30,.967,1.00,1.37,191.0,29,0,0,1,2.69,191.0,16,5,0,0,0,0,57,1.14,781,573,29,3,1,1831,.650,11,1,11,0,.762,14.85,0,2.89,8.58,2.97,7.30,3.06,0.52,0,0,,
593576,Hector Neris,67,40,67,28,13,1,3,76,15,0,47,6,.205,229,.272,.310,.582,1,3,.750,4,965,,71,,,1,0,,0.60,0,,0,2,2,1,5,.800,0.06,0.58,62.2,67,1,0,1,3.73,62.2,5,4,3,6,25,3,26,0.99,251,188,67,0,0,642,.670,6,1,5,0,.556,15.40,25,5.07,10.91,2.15,6.75,4.02,0.43,7,1,,
686613,Hunter Brown,4,21,9,2,3,1,0,15,4,0,13,0,.224,58,.274,.310,.584,1,1,.500,2,231,,18,,,0,0,,2.33,0,,2,1,1,0,2,1.000,0.50,1.13,16.0,4,0,0,0,1.13,16.0,2,0,0,0,1,0,2,1.06,62,48,4,0,0,163,.710,0,0,0,0,1.000,14.44,0,3.75,8.44,2.25,7.31,1.13,0.00,0,0,,
