,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,90,41,-,-,-,-,-,119,1,1
1,San Diego Padres,2,74,59,17.0,2,+0.5,-,14,135,5,5
2,Arizona Diamondbacks,3,63,68,27.0,5,9.5,22,5,109,8,8
3,San Francisco Giants,4,62,68,27.5,6,10.0,22,5,137,9,9
4,Colorado Rockies,5,56,77,35.0,8,17.5,13,E,115,11,11
0,New York Mets,1,85,48,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,82,51,3.0,1,+8.5,-,27,144,3,3
2,Philadelphia Phillies,3,73,59,11.5,3,-,-,19,143,6,6
3,Miami Marlins,4,55,76,29.0,9,17.5,14,2,146,12,12
4,Washington Nationals,5,45,87,39.5,12,28.0,3,E,120,15,15
0,St. Louis Cardinals,1,77,55,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,69,62,7.5,4,3.5,28,24,158,7,7
2,Chicago Cubs,3,56,76,21.0,7,17.0,14,10,112,10,10
3,Cincinnati Reds,4,52,78,24.0,10,20.0,12,8,113,13,13
4,Pittsburgh Pirates,5,49,82,27.5,11,23.5,8,4,134,14,14
