,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,90,50,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,79,61,11.0,2,+0.5,-,12,136,4,4
2,Los Angeles Angels,3,61,79,29.0,8,17.5,6,E,108,11,11
3,Texas Rangers,4,60,79,29.5,9,18.0,6,E,140,12,12
4,Oakland Athletics,5,51,90,39.5,12,28.0,E,E,133,15,15
0,New York Yankees,1,85,56,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,78,60,5.5,1,+0.5,-,18,139,3,3
2,Toronto Blue Jays,3,78,61,6.0,3,-,-,17,141,5,5
3,Baltimore Orioles,4,73,67,11.5,4,5.5,18,11,110,7,7
4,Boston Red Sox,5,69,72,16.0,7,10.0,13,6,111,10,10
0,Cleveland Guardians,1,73,65,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,72,69,2.5,5,7.0,16,21,145,8,8
2,Minnesota Twins,3,69,70,4.5,6,9.0,15,20,142,9,9
3,Kansas City Royals,4,57,84,17.5,10,22.0,1,6,118,13,13
4,Detroit Tigers,5,54,86,20.0,11,24.5,E,4,116,14,14
