,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,94,50,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,80,62,13.0,1,+0.5,-,7,136,3,3
2,Texas Rangers,3,62,81,31.5,8,18.0,2,E,140,11,11
3,Los Angeles Angels,4,61,82,32.5,9,19.0,1,E,108,12,12
4,Oakland Athletics,5,52,92,42.0,12,28.5,E,E,133,15,15
0,New York Yankees,1,87,56,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,81,63,6.5,2,+0.5,-,13,141,4,4
2,Tampa Bay Rays,3,80,63,7.0,3,-,-,13,139,5,5
3,Baltimore Orioles,4,75,67,11.5,4,4.5,16,9,110,7,7
4,Boston Red Sox,5,69,74,18.0,7,11.0,9,2,111,10,10
0,Cleveland Guardians,1,76,66,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,74,70,3.0,5,6.5,13,17,145,8,8
2,Minnesota Twins,3,72,70,4.0,6,7.5,13,17,142,9,9
3,Kansas City Royals,4,57,87,20.0,10,23.5,E,E,118,13,13
4,Detroit Tigers,5,54,89,22.5,11,26.0,E,E,116,14,14
