,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,111,51,-,-,-,-,-,119,1,1
1,San Diego Padres,2,89,73,22.0,2,+2.0,-,E,135,5,5
2,San Francisco Giants,3,81,81,30.0,5,6.0,E,E,137,8,8
3,Arizona Diamondbacks,4,74,88,37.0,6,13.0,E,E,109,9,9
4,Colorado Rockies,5,68,94,43.0,9,19.0,E,E,115,12,12
0,Atlanta Braves,1,101,61,-,-,-,-,-,144,2,2
1,New York Mets,2,101,61,-,1,+14.0,-,1,121,3,3
2,Philadelphia Phillies,3,87,75,14.0,3,-,-,E,143,6,6
3,Miami Marlins,4,69,93,32.0,8,18.0,E,E,146,11,11
4,Washington Nationals,5,55,107,46.0,12,32.0,E,E,120,15,15
0,St. Louis Cardinals,1,93,69,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,86,76,7.0,4,1.0,E,E,158,7,7
2,Chicago Cubs,3,74,88,19.0,7,13.0,E,E,112,10,10
3,Cincinnati Reds,4,62,100,31.0,10,25.0,E,E,113,13,13
4,Pittsburgh Pirates,5,62,100,31.0,11,25.0,E,E,134,14,14
