,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,97,43,-,-,-,-,-,119,1,1
1,San Diego Padres,2,77,64,20.5,3,-,-,2,135,6,6
2,San Francisco Giants,3,68,73,29.5,5,9.0,13,E,137,8,8
3,Arizona Diamondbacks,4,66,74,31.0,6,10.5,12,E,109,9,9
4,Colorado Rockies,5,61,80,36.5,7,16.0,6,E,115,10,10
0,New York Mets,1,89,53,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,87,54,1.5,1,+10.0,-,20,144,3,3
2,Philadelphia Phillies,3,78,62,10.0,2,+1.5,-,12,143,5,5
3,Miami Marlins,4,58,83,30.5,9,19.0,3,E,146,12,12
4,Washington Nationals,5,49,92,39.5,12,28.0,E,E,120,15,15
0,St. Louis Cardinals,1,83,58,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,75,66,8.0,4,2.0,20,14,158,7,7
2,Chicago Cubs,3,59,82,24.0,8,18.0,4,E,112,11,11
3,Cincinnati Reds,4,56,83,26.0,10,20.0,3,E,113,13,13
4,Pittsburgh Pirates,5,52,88,30.5,11,24.5,E,E,134,14,14
