,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,106,48,-,-,-,-,-,119,1,1
1,San Diego Padres,2,86,68,20.0,2,+2.5,-,E,135,5,5
2,San Francisco Giants,3,76,78,30.0,5,7.5,E,E,137,8,8
3,Arizona Diamondbacks,4,71,84,35.5,6,13.0,E,E,109,9,9
4,Colorado Rockies,5,65,89,41.0,8,18.5,E,E,115,11,11
0,Atlanta Braves,1,97,58,-,-,+13.0,-,-,144,2,2
1,New York Mets,2,97,58,-,1,+13.0,-,-,121,3,3
2,Philadelphia Phillies,3,83,70,13.0,3,-,-,E,143,6,6
3,Miami Marlins,4,64,90,32.5,9,19.5,E,E,146,12,12
4,Washington Nationals,5,53,101,43.5,12,30.5,E,E,120,15,15
0,St. Louis Cardinals,1,90,65,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,82,72,7.5,4,1.5,5,1,158,7,7
2,Chicago Cubs,3,68,86,21.5,7,15.5,E,E,112,10,10
3,Cincinnati Reds,4,60,95,30.0,10,24.0,E,E,113,13,13
4,Pittsburgh Pirates,5,58,97,32.0,11,26.0,E,E,134,14,14
