,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,81,6,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,67,84,33,12,0,12,47,18,0,68,2,.257,265,.308,.438,.746,1,1,.500,7,1054,286,116,35,106,0,1,.271,0.80,0,22.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,141,139,235,130,7,372,.981,2.61,2.66,1236.1,140,35,0,3,114,186,88,37,0,21,74,82,1,133,10,.267,498,.376,.468,.844,2,1,.333,17,2310,599,233,86,233,0,9,.272,0.61,0,23.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,49,0,6,1,0,7,1.000,0.14,1.13,56.2,49,0,0,0,44,39,16,7,0,2,80,23,0,41,4,.202,203,.294,.266,.560,1,4,.800,6,938,,54,,,0,1,,1.13,0,,2.06,56.2,4,0,2,2,6,0,13,1.13,231,170,49,0,0,583,.620,4,0,7,0,1.000,16.55,17,3.48,12.71,3.65,6.51,2.54,0.32,21,8,,
676801,Chas McCormick,107,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,76,77,42,11,2,13,95,41,0,75,1,.233,322,.321,.401,.722,2,3,.600,5,1424,365,129,41,121,0,1,.288,0.99,0,24.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,25,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,23,24,5,1,0,0,11,4,0,19,0,.247,77,.284,.260,.544,2,0,.000,2,312,81,20,6,32,0,0,.288,0.96,0,-.--,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,0,3.20
664299,Cristian Javier,27,22,1,2,0,3,1.000,0.11,0.21,131.2,27,0,0,0,61,157,44,18,1,17,173,46,0,85,6,.180,473,.260,.330,.590,2,9,.818,3,2293,,156,,,2,1,,0.39,0,,2.87,131.2,9,9,0,0,1,0,42,0.99,528,395,27,0,0,1450,.630,6,1,5,0,.500,17.42,0,3.76,11.83,3.14,5.81,3.01,1.16,0,0,,
682073,David Hensley,5,4,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,9,3,4,2,0,0,5,4,0,6,0,.261,23,.370,.348,.718,0,0,.---,3,103,27,8,2,12,0,0,.333,3.00,0,-.--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,28,28,20,6,1,27,.963,0.93,1.26,185.2,28,0,0,1,262,97,58,22,1,9,176,62,0,144,11,.213,675,.289,.289,.578,0,7,1.000,24,2734,,195,,,2,2,,2.70,0,,2.57,185.2,16,5,0,0,0,0,53,1.11,752,557,28,3,1,1768,.650,11,1,10,0,.762,14.73,0,2.84,8.53,3.01,6.98,2.81,0.44,0,0,,
593576,Hector Neris,65,0,2,2,0,4,1.000,0.06,0.59,61.2,65,1,0,0,38,67,24,13,1,3,74,15,0,42,6,.190,221,.260,.299,.559,1,3,.750,4,936,,66,,,0,0,,0.57,0,,3.36,61.2,5,4,3,6,25,3,23,0.92,242,185,65,0,0,623,.670,6,1,5,0,.556,15.18,24,4.93,10.80,2.19,6.13,3.50,0.44,7,1,,
686613,Hunter Brown,2,2,1,1,0,2,1.000,1.00,1.50,12.0,2,0,0,0,14,8,2,2,1,0,11,3,0,8,0,.195,41,.250,.293,.543,1,0,.000,2,161,,12,,,0,0,,1.75,0,,1.50,12.0,2,0,0,0,0,0,2,0.92,44,36,2,0,0,113,.700,0,0,0,0,1.000,13.42,0,3.67,8.25,2.25,6.00,1.50,0.00,0,0,,
