,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,96,51,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,80,65,15.0,3,-,-,2,136,5,5
2,Los Angeles Angels,3,64,82,31.5,8,16.5,1,E,108,11,11
3,Texas Rangers,4,63,83,32.5,9,17.5,E,E,140,12,12
4,Oakland Athletics,5,53,94,43.0,12,28.0,E,E,133,15,15
0,New York Yankees,1,88,58,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,83,64,5.5,1,+2.0,-,11,141,3,3
2,Tampa Bay Rays,3,82,64,6.0,2,+1.5,-,11,139,4,4
3,Baltimore Orioles,4,76,69,11.5,4,4.0,14,6,110,7,7
4,Boston Red Sox,5,71,75,17.0,7,9.5,8,E,111,10,10
0,Cleveland Guardians,1,79,67,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,76,71,3.5,5,5.0,12,13,145,8,8
2,Minnesota Twins,3,73,73,6.0,6,7.5,10,11,142,9,9
3,Kansas City Royals,4,58,89,21.5,10,23.0,E,E,118,13,13
4,Detroit Tigers,5,55,91,24.0,11,25.5,E,E,116,14,14
