,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,102,54,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,84,70,17.0,3,-,-,E,136,6,6
2,Los Angeles Angels,3,69,86,32.5,8,15.5,E,E,108,11,11
3,Texas Rangers,4,66,88,35.0,9,18.0,E,E,140,12,12
4,Oakland Athletics,5,56,99,45.5,12,28.5,E,E,133,15,15
0,New York Yankees,1,96,59,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,87,69,9.5,1,+2.0,-,E,141,4,4
2,Tampa Bay Rays,3,85,70,11.0,2,+0.5,-,E,139,5,5
3,Baltimore Orioles,4,80,75,16.0,4,4.5,4,E,110,7,7
4,Boston Red Sox,5,74,81,22.0,7,10.5,E,E,111,10,10
0,Cleveland Guardians,1,87,68,-,-,-,-,-,114,3,3
1,Chicago White Sox,2,76,79,11.0,5,8.5,E,E,145,8,8
2,Minnesota Twins,3,76,79,11.0,6,8.5,E,E,142,9,9
3,Kansas City Royals,4,63,92,24.0,10,21.5,E,E,118,13,13
4,Detroit Tigers,5,62,92,24.5,11,22.0,E,E,116,14,14
