,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,babip,difstrikeOutsbaseOnBalls,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,difstrikeOutsbaseOnBallsperplateAppearance,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,obp_mean,obp_std,normalized_obp,obp_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score,difstrikeOutsbaseOnBalls_mean,difstrikeOutsbaseOnBalls_std,normalized_difstrikeOutsbaseOnBalls,difstrikeOutsbaseOnBalls_z_score
605131,Austin Barnes,61,54,53,31,6,0,8,36,27,0,38,3,178,1,2,5,211.0,68,87.0,2,1,0,0.213,0.325,0.382,0.707,26.0,1.02,0.2222222222222222,9,0.17061611374407584,0.037914691943127965,0.18009478672985782,0.12322274881516587,0.12796208530805686,0.3222748815165877,0.04265402843601896,0.24273780487804877,0.033415191212094464,87.74900148207692,-0.8899486670387607,0.29467829041392346,0.04022810360655475,75.41180651960315,-1.8011305951766339,0.3124451219512195,0.035064052353795325,104.01826662243127,0.35805553568372966,0.7106280487804877,0.09408514323613733,99.48945882635594,-0.0385613355700799,87.33536585365853,44.668413983941605,43.510437757453055,-1.1044799099290765,44.542682926829265,27.047867273522456,58.370978781656405,-0.6855506476468465,33.28048780487805,20.36071906250321,81.12861854159033,-0.3084610020696345,144.27439024390245,77.70269959380944,47.13241198596847,-0.9816182789353075,54.603658536585364,27.84898339443554,16.482412060301506,-1.6375340489339858
621035,Chris Taylor,118,56,100,45,25,3,10,160,44,2,89,5,402,1,10,4,454.0,150,212.0,0,3,0,0.221,0.304,0.373,0.677,43.0,0.56,0.33617021276595743,116,0.3524229074889868,0.022026431718061675,0.1960352422907489,0.0947136563876652,0.09691629955947137,0.3303964757709251,0.2555066079295154,0.24273780487804877,0.033415191212094464,91.04473862694365,-0.6505365999575929,0.29467829041392346,0.04022810360655475,114.08041369242092,1.0314163142722268,0.3124451219512195,0.035064052353795325,97.29708631759725,-0.24084842978240062,0.7106280487804877,0.09408514323613733,95.2678410543748,-0.3574214549058728,87.33536585365853,44.668413983941605,101.90602527403479,0.037266470820743934,44.542682926829265,27.047867273522456,96.5366187542779,-0.057035289001858544,33.28048780487805,20.36071906250321,132.20960058629535,0.5264800404256479,144.27439024390245,77.70269959380944,103.96855585140104,0.0736861111136184,54.603658536585364,27.84898339443554,212.43997766610835,2.204616972685694
641355,Cody Bellinger,143,99,154,69,27,3,18,149,38,0,104,2,500,3,14,7,546.0,191,232.0,0,6,0,0.208,0.264,0.382,0.646,67.0,0.64,0.2536873156342183,111,0.27289377289377287,0.03296703296703297,0.19047619047619047,0.1227106227106227,0.0695970695970696,0.3498168498168498,0.2032967032967033,0.24273780487804877,0.033415191212094464,85.6891657665352,-1.0395812089644905,0.29467829041392346,0.04022810360655475,86.08958443388325,-1.0189636374762168,0.3124451219512195,0.035064052353795325,84.4948381179134,-1.3816178878131233,0.7106280487804877,0.09408514323613733,90.90550268999426,-0.6869102448861933,87.33536585365853,44.668413983941605,119.0811980730294,0.3730742298648088,44.542682926829265,27.047867273522456,150.41752224503767,0.8302805114381245,33.28048780487805,20.36071906250321,114.18101868816417,0.23179496660378354,144.27439024390245,77.70269959380944,132.3866277841173,0.6013383061380814,54.603658536585364,27.84898339443554,203.28308207705192,2.0250772053202883
518692,Freddie Freeman,158,142,175,116,46,2,20,102,84,12,196,5,608,3,13,6,704.0,306,207.0,0,7,0,0.322,0.405,0.503,0.908,98.0,0.81,0.35699797160243407,18,0.14488636363636365,0.028409090909090908,0.2784090909090909,0.13920454545454544,0.11931818181818182,0.4346590909090909,0.02556818181818182,0.24273780487804877,0.033415191212094464,132.65342008088624,2.3720407469421474,0.29467829041392346,0.04022810360655475,121.1483788306809,1.5491578175799534,0.3124451219512195,0.035064052353795325,129.62276302179896,2.6395944517451766,0.7106280487804877,0.09408514323613733,127.77429789862971,2.097801463979739,87.33536585365853,44.668413983941605,224.4222579068631,2.43269515200174,44.542682926829265,27.047867273522456,220.01368925393567,1.9763967536731026,33.28048780487805,20.36071906250321,252.4001465738366,2.491047199238077,144.27439024390245,77.70269959380944,212.09585393685813,2.0813383653530386,54.603658536585364,27.84898339443554,32.96482412060301,-1.3143624676762558
666158,Gavin Lux,1,121,88,66,20,7,6,95,47,0,116,0,417,2,7,3,467.0,168,206.0,0,3,0,0.278,0.349,0.403,0.752,42.0,1.38,0.3448275862068966,48,0.20342612419700215,0.01284796573875803,0.24839400428265523,0.08993576017130621,0.1006423982869379,0.35974304068522484,0.10278372591006424,0.24273780487804877,0.033415191212094464,114.5268657841192,1.0552743779957265,0.29467829041392346,0.04022810360655475,117.01832046145317,1.2466234124146436,0.3124451219512195,0.035064052353795325,111.69961554224157,1.0425172105021627,0.7106280487804877,0.09408514323613733,105.8218854843277,0.4397288434336112,87.33536585365853,44.668413983941605,132.8213363122251,0.6417204371000607,44.542682926829265,27.047867273522456,94.29158110882958,-0.09400678068685783,33.28048780487805,20.36071906250321,141.22389153536093,0.6738225773365801,144.27439024390245,77.70269959380944,116.44478255356915,0.30533829429508996,54.603658536585364,27.84898339443554,87.90619765494138,-0.2371238634838222
608336,Joey Gallo,82,29,61,32,4,1,12,106,40,0,37,0,233,0,2,0,273.0,79,122.0,0,0,0,0.159,0.282,0.339,0.621,24.0,0.48,0.21739130434782608,66,0.3882783882783883,0.04395604395604396,0.13553113553113552,0.08791208791208792,0.14652014652014653,0.2893772893772894,0.24175824175824176,0.24273780487804877,0.033415191212094464,65.50277575422643,-2.5059801198366416,0.29467829041392346,0.04022810360655475,73.7724194213509,-1.9212187286279203,0.3124451219512195,0.035064052353795325,90.25584980777111,-0.868271631699299,0.7106280487804877,0.09408514323613733,87.38748788000996,-0.9526270109993551,87.33536585365853,44.668413983941605,42.365426237520076,-1.1268670938653476,44.542682926829265,27.047867273522456,53.880903490759756,-0.7594936310168451,33.28048780487805,20.36071906250321,120.19054598754121,0.330023324544405,144.27439024390245,77.70269959380944,54.75677274840455,-0.8400530558799638,54.603658536585364,27.84898339443554,120.87102177554439,0.40921929903163795
457759,Justin Turner,61,96,159,61,36,0,13,88,50,1,130,6,465,0,3,13,529.0,205,200.0,0,8,0,0.28,0.352,0.441,0.793,81.0,0.60,0.31451612903225806,38,0.166351606805293,0.024574669187145556,0.24574669187145556,0.15311909262759923,0.0945179584120983,0.387523629489603,0.07183364839319471,0.24273780487804877,0.033415191212094464,115.35080007033586,1.1151273947660185,0.29467829041392346,0.04022810360655475,106.73203261443834,0.49313382535641653,0.3124451219512195,0.035064052353795325,112.65978415721784,1.128074919854467,0.7106280487804877,0.09408514323613733,111.59142977270196,0.8755043398591964,87.33536585365853,44.668413983941605,148.85149759128674,0.9551410122078545,44.542682926829265,27.047867273522456,181.84804928131416,1.3478813950281145,33.28048780487805,20.36071906250321,150.23818248442652,0.8211651142475123,144.27439024390245,77.70269959380944,142.0903596635814,0.781512226390337,54.603658536585364,27.84898339443554,69.5924064768286,-0.5962033982146334
571970,Max Muncy,24,86,151,69,22,1,21,140,89,1,91,5,462,0,2,2,562.0,178,213.0,0,6,0,0.197,0.329,0.385,0.714,69.0,0.57,0.2280130293159609,51,0.2491103202846975,0.037366548042704624,0.1619217081850534,0.12277580071174377,0.1583629893238434,0.3167259786476868,0.09074733096085409,0.24273780487804877,0.033415191212094464,81.15752719234345,-1.3687728012010953,0.29467829041392346,0.04022810360655475,77.3769350282573,-1.657181301658479,0.3124451219512195,0.035064052353795325,105.29849144239964,0.4721324814868021,0.7106280487804877,0.09408514323613733,100.47450297315154,0.03583935894160538,87.33536585365853,44.668413983941605,104.19604831390072,0.08204083869328592,44.542682926829265,27.047867273522456,154.90759753593431,0.904223494808123,33.28048780487805,20.36071906250321,267.42396482227923,2.7366180940896307,144.27439024390245,77.70269959380944,123.37601961032922,0.43403395161812974,54.603658536585364,27.84898339443554,93.40033500837521,-0.12940000306457883
605141,Mookie Betts,141,127,189,116,40,3,35,104,54,0,154,8,570,2,12,8,636.0,305,198.0,0,4,0,0.27,0.34,0.535,0.875,82.0,0.67,0.2735632183908046,50,0.16352201257861634,0.055031446540880505,0.24213836477987422,0.1289308176100629,0.08490566037735849,0.47955974842767296,0.07861635220125786,0.24273780487804877,0.033415191212094464,111.23112863925245,0.8158623109145587,0.29467829041392346,0.04022810360655475,92.83453423275284,-0.5248836044977863,0.3124451219512195,0.035064052353795325,108.81910969731273,0.7858440824452513,0.7106280487804877,0.09408514323613733,123.13051834945044,1.7470553327103657,87.33536585365853,44.668413983941605,176.33177406967815,1.4924334266783583,44.542682926829265,27.047867273522456,184.09308692676248,1.3848528867131138,33.28048780487805,20.36071906250321,162.25723708318066,1.0176218301287552,144.27439024390245,77.70269959380944,211.4027302311821,2.0684687996207347,54.603658536585364,27.84898339443554,91.56895589056393,-0.16530795653765995
607208,Trea Turner,159,156,177,100,39,4,20,129,45,1,192,3,648,3,27,9,704.0,299,264.0,0,6,2,0.296,0.342,0.461,0.803,97.0,0.88,0.3405940594059406,84,0.18323863636363635,0.028409090909090908,0.2727272727272727,0.1377840909090909,0.06392045454545454,0.4247159090909091,0.11931818181818182,0.24273780487804877,0.033415191212094464,121.94227436006932,1.5939515289283523,0.29467829041392346,0.04022810360655475,115.58165989341155,1.1413853718059843,0.3124451219512195,0.035064052353795325,109.45922210729691,0.8428825553467875,0.7106280487804877,0.09408514323613733,112.99863569669566,0.9817910463044611,87.33536585365853,44.668413983941605,219.84221182713122,2.343146416256656,44.542682926829265,27.047867273522456,217.76865160848735,1.9394252619881034,33.28048780487805,20.36071906250321,135.21436423598388,0.5755942193959587,144.27439024390245,77.70269959380944,207.24398799712606,1.9912514052269108,54.603658536585364,27.84898339443554,153.83584589614742,1.055562461547098
