,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,99,52,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,82,67,16.0,3,-,-,E,136,6,6
2,Texas Rangers,3,65,84,33.0,8,17.0,E,E,140,11,11
3,Los Angeles Angels,4,65,85,33.5,9,17.5,E,E,108,12,12
4,Oakland Athletics,5,55,95,43.5,12,27.5,E,E,133,15,15
0,New York Yankees,1,91,58,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,84,66,7.5,1,+1.5,-,6,141,3,3
2,Tampa Bay Rays,3,83,67,8.5,2,+0.5,-,5,139,5,5
3,Baltimore Orioles,4,78,71,13.0,4,4.0,10,1,110,7,7
4,Boston Red Sox,5,72,77,19.0,7,10.0,4,E,111,10,10
0,Cleveland Guardians,1,83,67,-,-,-,-,-,114,4,4
1,Chicago White Sox,2,76,74,7.0,5,6.5,7,6,145,8,8
2,Minnesota Twins,3,73,77,10.0,6,9.5,4,3,142,9,9
3,Kansas City Royals,4,61,89,22.0,10,21.5,E,E,118,13,13
4,Detroit Tigers,5,57,92,25.5,11,25.0,E,E,116,14,14
