,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,92,50,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,79,62,12.5,2,-,-,9,136,4,4
2,Texas Rangers,3,62,80,30.0,8,17.5,4,E,140,11,11
3,Los Angeles Angels,4,61,81,31.0,9,18.5,3,E,108,12,12
4,Oakland Athletics,5,51,91,41.0,12,28.5,E,E,133,15,15
0,New York Yankees,1,86,56,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,80,62,6.0,1,+0.5,-,15,141,3,3
2,Tampa Bay Rays,3,79,62,6.5,3,-,-,15,139,5,5
3,Baltimore Orioles,4,74,67,11.5,4,5.0,17,10,110,7,7
4,Boston Red Sox,5,69,73,17.0,7,10.5,11,4,111,10,10
0,Cleveland Guardians,1,75,65,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,73,69,3.0,5,6.5,15,19,145,8,8
2,Minnesota Twins,3,70,70,5.0,6,8.5,14,18,142,9,9
3,Kansas City Royals,4,57,85,19.0,10,22.5,E,3,118,13,13
4,Detroit Tigers,5,54,88,22.0,11,25.5,E,E,116,14,14
