,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
608324,Alex Bregman,123,106,160,79,34,0,20,64,69,1,119,7,.269,443,.371,.481,.852,1,1,.500,16,2012,525,213,76,201,0,6,.271,0.66,0,22.15,122,199,121,6,326,.982,2.60,2.66,1081.2,123,32,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656232,Brandon Bielak,4,10,11,4,1,0,1,10,3,0,9,3,.225,40,.326,.325,.651,0,0,.---,0,191,,13,,,0,0,,0.91,0,,0,0,0,0,0,.000,0.00,0.00,10.1,4,0,0,0,3.48,10.1,0,0,0,0,1,0,4,1.16,46,31,4,0,0,117,.610,3,0,1,0,.---,18.48,1,3.33,8.71,2.61,7.84,3.48,0.87,1,0,,
650556,Bryan Abreu,41,35,34,14,7,0,1,68,21,0,36,4,.209,172,.308,.267,.575,1,3,.750,5,817,,46,,,0,1,,1.03,0,,0,6,1,0,7,1.000,0.17,1.34,47.2,41,0,0,0,2.08,47.2,4,0,2,2,3,0,11,1.20,198,143,41,0,0,505,.620,4,0,7,0,1.000,17.14,15,3.24,12.84,3.97,6.80,2.64,0.19,19,8,,
676801,Chas McCormick,1,67,66,36,10,2,12,79,36,0,66,1,.238,277,.327,.419,.746,2,2,.500,5,1218,315,116,37,105,0,1,.289,1.02,0,23.08,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,9,11,5,0,0,0,6,2,0,13,0,.333,39,.366,.333,.699,3,6,.667,0,157,41,13,4,8,0,0,.394,0.82,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,3,0,,,,,,,,,,,,0,3.92
664299,Cristian Javier,24,50,141,38,17,1,15,150,41,0,75,6,.181,414,.264,.336,.600,2,7,.778,3,2011,,139,,,1,1,,0.35,0,,19,1,2,0,3,1.000,0.13,0.23,115.1,24,0,0,0,2.97,115.1,7,9,0,0,1,0,38,1.01,463,346,24,0,0,1259,.630,6,0,5,0,.438,17.44,0,3.66,11.71,3.20,5.85,2.97,1.17,0,0,,
682073,David Hensley,1,2,1,0,1,0,0,2,0,0,1,0,.167,6,.167,.333,.500,0,0,.---,0,23,6,2,0,2,0,0,.250,2.00,0,-.--,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,24,227,79,50,19,1,7,142,56,0,120,11,.213,564,.295,.287,.582,0,4,1.000,21,2329,,162,,,2,2,,2.87,0,,24,20,4,1,25,.960,1.00,1.38,156.0,24,0,0,1,2.65,156.0,13,4,0,0,0,0,46,1.13,635,468,24,2,0,1500,.640,11,1,6,0,.765,14.93,0,2.54,8.19,3.23,6.92,2.88,0.40,0,0,,
593576,Hector Neris,56,33,60,22,12,1,2,61,14,0,38,5,.198,192,.270,.302,.572,1,3,.750,4,811,,58,,,0,0,,0.55,0,,0,1,1,0,2,1.000,0.04,0.34,53.1,56,1,0,0,3.54,53.1,4,4,2,5,22,3,21,0.98,211,160,56,0,0,536,.660,5,1,5,0,.500,15.21,21,4.36,10.29,2.36,6.41,3.71,0.34,6,1,,
656695,J.J. Matijevic,8,14,11,7,2,0,2,19,2,0,11,2,.200,55,.254,.345,.599,0,1,1.000,1,219,59,19,4,27,0,0,.265,1.27,0,27.50,5,0,0,0,0,.000,0.00,-.--,0.0,8,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
