,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score
608324,Alex Bregman,133,109,174,84,35,0,21,72,80,1,126,8,473,2,1,17,569.0,224,221.0,0,8,0,0.266,0.376,0.474,0.85,82.0,0.63,0.1265377855887522,0.03690685413005272,0.22144112478031636,0.14411247803163443,0.140597539543058,0.3936731107205624,0.2706185567010309,0.2443395061728395,0.03593492454756364,108.86491675719374,0.6027699821239523,0.2903203526248176,0.046593344579611104,93.21377376898981,-0.4228457111535204,0.7033765432098765,0.10564977978254667,120.84565631390032,1.387825484273708,82.55555555555556,38.568000767862124,152.62449528936745,1.1264375539176443,41.41358024691358,23.279731557471415,198.0026829631838,1.7434230138302682,29.30246913580247,17.67761313887883,273.0145354961028,2.867894577503631,134.65432098765433,67.87157410341393,166.3518841111213,1.3163932057360608
676801,Chas McCormick,1,70,74,39,11,2,13,90,38,0,72,1,305,2,2,5,345.0,126,118.0,0,1,0,0.236,0.322,0.413,0.735,41.0,0.95,0.2608695652173913,0.03768115942028986,0.20869565217391303,0.11884057971014493,0.11014492753623188,0.3652173913043478,0.29064039408866993,0.2443395061728395,0.03593492454756364,96.58691862668317,-0.23207245535749788,0.2903203526248176,0.046593344579611104,100.11023735020945,0.006868823578558606,0.7033765432098765,0.10564977978254667,104.49594987143145,0.2993234520243425,82.55555555555556,38.568000767862124,87.21399730820995,-0.27368687371400574,41.41358024691358,23.279731557471415,99.0013414815919,-0.017765679380475834,29.30246913580247,17.67761313887883,129.68190436064884,0.4920082137711696,134.65432098765433,67.87157410341393,93.57293481250572,-0.12751024419248025
665161,Jeremy Pena,114,120,99,57,17,1,17,120,19,0,111,5,445,2,9,3,477.0,181,170.0,0,5,3,0.249,0.285,0.407,0.692,47.0,1.21,0.25157232704402516,0.03563941299790356,0.23270440251572327,0.09853249475890985,0.039832285115303984,0.37945492662473795,0.3003194888178914,0.2443395061728395,0.03593492454756364,101.90738448323775,0.12969260088446385,0.2903203526248176,0.046593344579611104,103.4441733425406,0.21460438788610478,0.7033765432098765,0.10564977978254667,98.3825813755518,-0.10768165568629023,82.55555555555556,38.568000767862124,134.4549125168237,0.7375141017977416,41.41358024691358,23.279731557471415,113.48934267401998,0.23996925133329158,29.30246913580247,17.67761313887883,64.84095218032442,-0.5827975222030389,134.65432098765433,67.87157410341393,134.41826350050425,0.6828437328082315
514888,Jose Altuve,2,117,131,84,33,0,24,81,57,2,134,8,462,1,16,12,528.0,239,117.0,0,1,0,0.29,0.377,0.517,0.894,52.0,0.89,0.1534090909090909,0.045454545454545456,0.2537878787878788,0.09848484848484848,0.10795454545454546,0.45265151515151514,0.30726256983240224,0.2443395061728395,0.03593492454756364,118.6873152616022,1.2706439321091108,0.2903203526248176,0.046593344579611104,105.83569737857104,0.36361882497266446,0.7033765432098765,0.10564977978254667,127.10119617014928,1.804295827047379,82.55555555555556,38.568000767862124,162.31493943472407,1.3338633950482592,41.41358024691358,23.279731557471415,125.56267700104338,0.4547483602614311,29.30246913580247,17.67761313887883,194.52285654097327,1.5668139497453781,134.65432098765433,67.87157410341393,177.49151920784817,1.537398835827164
663656,Kyle Tucker,3,106,160,64,25,1,25,83,54,3,121,0,468,2,22,9,527.0,223,218.0,0,2,3,0.259,0.334,0.476,0.81,90.0,0.66,0.15749525616698293,0.04743833017077799,0.22960151802656548,0.17077798861480076,0.10246679316888045,0.42314990512333966,0.26519337016574585,0.2443395061728395,0.03593492454756364,106.00005052674129,0.4079734133782806,0.2903203526248176,0.046593344579611104,91.34508406596507,-0.5392826526144492,0.7033765432098765,0.10564977978254667,115.15880189912855,1.0092160817521905,82.55555555555556,38.568000767862124,146.5679676985195,0.9967964032110102,41.41358024691358,23.279731557471415,217.32001788642123,2.0870695881152916,29.30246913580247,17.67761313887883,184.2848114598694,1.3971077809073453,134.65432098765433,67.87157410341393,165.6092417713395,1.3016594970633204
671277,Luis Garcia,59,89,54,23,17,2,6,64,5,0,83,1,286,4,2,4,296.0,122,129.0,1,3,0,0.29,0.302,0.427,0.729,34.0,1.65,0.21621621621621623,0.02027027027027027,0.28040540540540543,0.11486486486486487,0.016891891891891893,0.41216216216216217,0.3515981735159817,0.2443395061728395,0.03593492454756364,118.6873152616022,1.2706439321091108,0.2903203526248176,0.046593344579611104,121.10696695465705,1.3151625289844258,0.7033765432098765,0.10564977978254667,103.6429217092157,0.24253204164611472,82.55555555555556,38.568000767862124,100.53835800807538,0.011523657840589672,41.41358024691358,23.279731557471415,82.09867342375912,-0.31845643187987116,29.30246913580247,17.67761313887883,17.063408468506424,-1.3747596434471927,134.65432098765433,67.87157410341393,90.60236545337855,-0.1864450788834411
455117,Martin Maldonado,99,78,74,31,12,0,12,102,21,0,52,6,301,13,37,5,333.0,100,152.0,3,2,0,0.173,0.239,0.332,0.571,38.0,1.05,0.3063063063063063,0.036036036036036036,0.15615615615615616,0.11411411411411411,0.06306306306306306,0.3003003003003003,0.21164021164021163,0.2443395061728395,0.03593492454756364,70.80312255261096,-1.9852415740685416,0.2903203526248176,0.046593344579611104,72.89885456763527,-1.6886562167729808,0.7033765432098765,0.10564977978254667,81.17984677086714,-1.2529750983138837,82.55555555555556,38.568000767862124,62.98788694481831,-0.7922514765405428,41.41358024691358,23.279731557471415,91.75734088537784,-0.14663314473735956,29.30246913580247,17.67761313887883,71.666315567727,-0.469660076311017,134.65432098765433,67.87157410341393,74.26423397817915,-0.5105866696837258
641820,Trey Mancini,15,20,29,14,3,0,7,33,13,0,21,1,102,0,0,2,117.0,45,46.0,0,1,0,0.206,0.299,0.441,0.74,20.0,0.69,0.28205128205128205,0.05982905982905983,0.1794871794871795,0.17094017094017094,0.1111111111111111,0.38461538461538464,0.2222222222222222,0.2443395061728395,0.03593492454756364,84.30892049617259,-1.0669148928389471,0.2903203526248176,0.046593344579611104,76.54379729601702,-1.4615420081346684,0.7033765432098765,0.10564977978254667,105.20680667327792,0.3466496273395324,82.55555555555556,38.568000767862124,25.437415881561236,-1.5960266109216754,41.41358024691358,23.279731557471415,48.293337308093605,-0.9198379368786618,29.30246913580247,17.67761313887883,44.36486201811671,-0.9222098598791049,134.65432098765433,67.87157410341393,33.41890529018062,-1.3209406466844376
669257,Will Smith,21,89,156,60,24,1,21,79,52,4,113,10,433,9,41,9,499.0,202,204.0,0,4,0,0.261,0.351,0.467,0.818,81.0,0.57,0.15831663326653306,0.04208416833667335,0.22645290581162325,0.1623246492985972,0.10420841683366733,0.40480961923847697,0.27299703264094954,0.2443395061728395,0.03593492454756364,106.81858373544199,0.46362957587704395,0.2903203526248176,0.046593344579611104,94.03303287997343,-0.37179816431226104,0.7033765432098765,0.10564977978254667,116.29617278208289,1.0849379622564932,82.55555555555556,38.568000767862124,136.87752355316286,0.7893705620803954,41.41358024691358,23.279731557471415,195.5880160977791,1.7004671920446404,29.30246913580247,17.67761313887883,177.45944807246684,1.2839703350153233,134.65432098765433,67.87157410341393,150.01375263592186,0.992251614935776
670541,Yordan Alvarez,67,107,92,80,20,2,32,92,70,9,117,6,402,1,1,12,484.0,237,193.0,0,6,0,0.291,0.399,0.59,0.989,83.0,1.16,0.19008264462809918,0.06611570247933884,0.24173553719008264,0.17148760330578514,0.1446280991735537,0.4896694214876033,0.2992957746478873,0.2443395061728395,0.03593492454756364,119.09658186595256,1.2984720133584926,0.2903203526248176,0.046593344579611104,103.09155797791026,0.19263313471163218,0.7033765432098765,0.10564977978254667,140.60747540523226,2.703493158035985,82.55555555555556,38.568000767862124,141.72274562584118,0.8930834826457027,41.41358024691358,23.279731557471415,200.41734982858844,1.786378835615896,29.30246913580247,17.67761313887883,238.88771855908993,2.302207348043521,134.65432098765433,67.87157410341393,176.00623452828458,1.5079314184816834
