,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,6,71,88,34,12,0,12,49,18,0,70,2,.254,276,.302,.428,.730,1,1,.500,7,1095,298,118,38,110,0,2,.267,0.81,0,23.00,6,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,144,117,192,88,38,0,21,74,82,1,135,10,.265,509,.372,.464,.836,2,1,.333,17,2364,610,236,88,237,0,9,.270,0.61,0,24.24,142,240,133,7,380,.982,2.61,2.66,1262.1,143,36,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,50,44,39,16,7,0,2,81,25,0,42,4,.205,205,.302,.268,.570,1,4,.800,6,958,,55,,,0,1,,1.13,0,,0,6,1,0,7,1.000,0.14,1.11,57.0,50,0,0,0,2.05,57.0,4,0,2,2,6,0,13,1.18,235,171,50,0,0,594,.620,4,0,7,0,1.000,16.81,17,3.24,12.79,3.95,6.63,2.53,0.32,21,8,,
676801,Chas McCormick,109,77,78,42,11,2,13,98,41,0,77,1,.234,329,.320,.398,.718,2,3,.600,5,1450,372,131,41,121,0,1,.292,0.99,0,25.31,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,26,25,5,1,0,0,13,4,0,19,0,.229,83,.264,.241,.505,3,14,.824,2,333,87,20,6,32,0,0,.271,1.04,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,7,0,,,,,,,,,,,,0,3.01
664299,Cristian Javier,28,62,164,44,18,1,17,179,50,0,86,6,.176,488,.261,.322,.583,2,9,.818,3,2383,,157,,,2,1,,0.38,0,,23,1,2,0,3,1.000,0.11,0.20,136.2,28,0,0,0,2.77,136.2,10,9,0,0,1,0,42,1.00,547,410,28,0,0,1504,.630,6,1,5,0,.526,17.44,0,3.58,11.79,3.29,5.66,2.90,1.12,0,0,,
682073,David Hensley,11,9,3,4,2,0,0,6,4,0,6,0,.250,24,.357,.333,.690,0,0,.---,3,110,28,8,2,13,0,0,.333,3.00,0,-.--,4,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,28,262,97,58,22,1,9,176,62,0,144,11,.213,675,.289,.289,.578,0,7,1.000,24,2734,,195,,,2,2,,2.70,0,,28,20,6,1,27,.963,0.93,1.26,185.2,28,0,0,1,2.57,185.2,16,5,0,0,0,0,53,1.11,752,557,28,3,1,1768,.650,11,1,10,0,.762,14.73,0,2.84,8.53,3.01,6.98,2.81,0.44,0,0,,
593576,Hector Neris,66,39,67,24,13,1,3,76,15,0,43,6,.191,225,.260,.298,.558,1,3,.750,4,951,,67,,,0,0,,0.58,0,,0,2,2,0,4,1.000,0.06,0.58,62.2,66,1,0,0,3.30,62.2,5,4,3,6,25,3,23,0.93,246,188,66,0,0,633,.670,6,1,5,0,.556,15.18,25,5.07,10.91,2.15,6.18,3.45,0.43,7,1,,
686613,Hunter Brown,3,19,9,2,3,1,0,14,4,0,10,0,.192,52,.250,.288,.538,1,1,.500,2,208,,15,,,0,0,,2.11,0,,2,1,1,0,2,1.000,0.67,1.20,15.0,3,0,0,0,1.20,15.0,2,0,0,0,1,0,2,0.93,56,45,3,0,0,146,.700,0,0,0,0,1.000,13.87,0,3.50,8.40,2.40,6.00,1.20,0.00,0,0,,
