,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,99,44,-,-,-,-,-,119,1,1
1,San Diego Padres,2,79,66,21.0,3,-,-,E,135,6,6
2,San Francisco Giants,3,69,75,30.5,5,9.5,9,E,137,8,8
3,Arizona Diamondbacks,4,68,76,31.5,6,10.5,8,E,109,9,9
4,Colorado Rockies,5,62,82,37.5,8,16.5,2,E,115,11,11
0,New York Mets,1,91,55,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,89,55,1.0,1,+10.5,-,17,144,3,3
2,Philadelphia Phillies,3,80,64,10.0,2,+1.5,-,8,143,5,5
3,Miami Marlins,4,59,86,31.5,9,20.0,E,E,146,12,12
4,Washington Nationals,5,50,94,40.0,12,28.5,E,E,120,15,15
0,St. Louis Cardinals,1,85,60,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,77,67,7.5,4,1.5,17,11,158,7,7
2,Chicago Cubs,3,62,82,22.5,7,16.5,2,E,112,10,10
3,Cincinnati Reds,4,57,87,27.5,10,21.5,E,E,113,13,13
4,Pittsburgh Pirates,5,55,90,30.0,11,24.0,E,E,134,14,14
