,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,86,48,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,76,58,10.0,1,+2.0,-,19,136,3,3
2,Texas Rangers,3,58,75,27.5,9,15.5,15,2,140,11,11
3,Los Angeles Angels,4,58,76,28.0,10,16.0,14,1,108,12,12
4,Oakland Athletics,5,50,85,36.5,13,24.5,5,E,133,15,15
0,New York Yankees,1,80,54,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,74,58,5.0,2,+1.0,-,25,139,4,4
2,Toronto Blue Jays,3,73,59,6.0,3,-,-,24,141,5,5
3,Baltimore Orioles,4,71,62,8.5,4,2.5,28,21,110,6,6
4,Boston Red Sox,5,67,68,13.5,8,7.5,22,15,111,10,10
0,Cleveland Guardians,1,68,64,-,5,5.0,26,-,114,7,7
1,Minnesota Twins,2,68,64,-,6,5.0,26,-,142,8,8
2,Chicago White Sox,3,67,67,2.0,7,7.0,23,28,145,9,9
3,Kansas City Royals,4,55,80,14.5,11,19.5,10,15,118,13,13
4,Detroit Tigers,5,51,83,18.0,12,23.0,7,12,116,14,14
