,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,85,47,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,74,58,11.0,2,+2.0,-,20,136,4,4
2,Texas Rangers,3,58,73,26.5,8,13.5,19,5,140,11,11
3,Los Angeles Angels,4,57,75,28.0,9,15.0,17,3,108,12,12
4,Oakland Athletics,5,49,84,36.5,12,23.5,8,E,133,15,15
0,New York Yankees,1,79,53,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,73,57,5.0,1,+2.0,-,27,139,3,3
2,Toronto Blue Jays,3,71,59,7.0,3,-,-,25,141,5,5
3,Baltimore Orioles,4,70,61,8.5,4,1.5,31,23,110,6,6
4,Boston Red Sox,5,65,68,14.5,7,7.5,24,16,111,10,10
0,Cleveland Guardians,1,68,62,-,-,-,-,-,114,7,7
1,Minnesota Twins,2,67,63,1.0,5,4.0,29,32,142,8,8
2,Chicago White Sox,3,66,66,3.0,6,6.0,26,29,145,9,9
3,Kansas City Royals,4,53,80,16.5,10,19.5,12,15,118,13,13
4,Detroit Tigers,5,51,81,18.0,11,21.0,11,14,116,14,14
