,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,89,49,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,77,61,12.0,3,-,-,13,136,5,5
2,Los Angeles Angels,3,60,78,29.0,8,17.0,8,E,108,11,11
3,Texas Rangers,4,59,78,29.5,9,17.5,8,E,140,12,12
4,Oakland Athletics,5,50,89,39.5,12,27.5,E,E,133,15,15
0,New York Yankees,1,83,56,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,78,58,3.5,1,+2.0,-,22,139,3,3
2,Toronto Blue Jays,3,77,60,5.0,2,+0.5,-,20,141,4,4
3,Baltimore Orioles,4,73,65,9.5,4,4.0,21,15,110,6,6
4,Boston Red Sox,5,67,72,16.0,7,10.5,14,8,111,10,10
0,Cleveland Guardians,1,71,65,-,-,-,-,-,114,7,7
1,Chicago White Sox,2,71,68,1.5,5,6.5,18,24,145,8,8
2,Minnesota Twins,3,69,68,2.5,6,7.5,18,24,142,9,9
3,Kansas City Royals,4,56,83,16.5,10,21.5,3,9,118,13,13
4,Detroit Tigers,5,53,85,19.0,11,24.0,1,7,116,14,14
