,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,91,41,-,-,-,-,-,119,1,1
1,San Diego Padres,2,74,60,18.0,2,+0.5,-,12,135,5,5
2,San Francisco Giants,3,63,68,27.5,5,9.0,22,4,137,8,8
3,Arizona Diamondbacks,4,63,69,28.0,6,9.5,21,3,109,9,9
4,Colorado Rockies,5,56,77,35.5,8,17.0,13,E,115,11,11
0,New York Mets,1,85,49,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,83,51,2.0,1,+9.5,-,27,144,3,3
2,Philadelphia Phillies,3,73,60,11.5,3,-,-,18,143,6,6
3,Miami Marlins,4,55,77,29.0,9,17.5,13,1,146,12,12
4,Washington Nationals,5,46,87,38.5,12,27.0,3,E,120,15,15
0,St. Louis Cardinals,1,78,55,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,70,62,7.5,4,2.5,28,23,158,7,7
2,Chicago Cubs,3,56,77,22.0,7,17.0,13,8,112,10,10
3,Cincinnati Reds,4,52,78,24.5,10,19.5,12,7,113,13,13
4,Pittsburgh Pirates,5,49,83,28.5,11,23.5,7,2,134,14,14
