,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,88,49,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,77,60,11.0,2,+0.5,-,15,136,4,4
2,Los Angeles Angels,3,60,77,28.0,8,16.5,10,E,108,11,11
3,Texas Rangers,4,59,77,28.5,9,17.0,10,E,140,12,12
4,Oakland Athletics,5,50,87,38.0,12,26.5,E,E,133,15,15
0,New York Yankees,1,83,54,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,77,58,5.0,1,+1.5,-,22,139,3,3
2,Toronto Blue Jays,3,76,60,6.5,3,-,-,20,141,5,5
3,Baltimore Orioles,4,72,65,11.0,4,4.5,22,15,110,6,6
4,Boston Red Sox,5,67,71,16.5,7,10.0,16,9,111,10,10
0,Cleveland Guardians,1,70,65,-,-,-,-,-,114,7,7
1,Minnesota Twins,2,68,67,2.0,5,7.5,20,26,142,8,8
2,Chicago White Sox,3,69,68,2.0,6,7.5,19,25,145,9,9
3,Kansas City Royals,4,56,82,15.5,10,21.0,5,11,118,13,13
4,Detroit Tigers,5,52,85,19.0,11,24.5,2,8,116,14,14
