,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,96,43,-,-,-,-,-,119,1,1
1,San Diego Padres,2,77,64,20.0,3,-,-,3,135,6,6
2,San Francisco Giants,3,67,73,29.5,5,9.5,13,E,137,8,8
3,Arizona Diamondbacks,4,66,73,30.0,6,10.0,13,E,109,9,9
4,Colorado Rockies,5,61,80,36.0,7,16.0,6,E,115,10,10
0,New York Mets,1,89,52,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,87,53,1.5,1,+10.5,-,21,144,3,3
2,Philadelphia Phillies,3,78,62,10.5,2,+1.5,-,12,143,5,5
3,Miami Marlins,4,57,83,31.5,9,19.5,3,E,146,12,12
4,Washington Nationals,5,49,92,40.0,12,28.0,E,E,120,15,15
0,St. Louis Cardinals,1,83,58,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,75,66,8.0,4,2.0,20,14,158,7,7
2,Chicago Cubs,3,58,82,24.5,8,18.5,4,E,112,11,11
3,Cincinnati Reds,4,56,82,25.5,10,19.5,4,E,113,13,13
4,Pittsburgh Pirates,5,51,88,31.0,11,25.0,E,E,134,14,14
