,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,93,50,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,80,62,12.5,2,+1.0,-,8,136,4,4
2,Texas Rangers,3,62,81,31.0,8,17.5,3,E,140,11,11
3,Los Angeles Angels,4,61,82,32.0,9,18.5,2,E,108,12,12
4,Oakland Athletics,5,52,91,41.0,12,27.5,E,E,133,15,15
0,New York Yankees,1,87,56,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,81,62,6.0,1,+1.5,-,14,141,3,3
2,Tampa Bay Rays,3,79,63,7.5,3,-,-,13,139,5,5
3,Baltimore Orioles,4,75,67,11.5,4,4.0,17,9,110,7,7
4,Boston Red Sox,5,69,74,18.0,7,10.5,10,2,111,10,10
0,Cleveland Guardians,1,76,66,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,74,70,3.0,5,6.0,14,17,145,8,8
2,Minnesota Twins,3,71,70,4.5,6,7.5,14,17,142,9,9
3,Kansas City Royals,4,57,86,19.5,10,22.5,E,1,118,13,13
4,Detroit Tigers,5,54,89,22.5,11,25.5,E,E,116,14,14
