,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,98,43,-,-,-,-,-,119,1,1
1,San Diego Padres,2,78,64,20.5,3,-,-,1,135,6,6
2,San Francisco Giants,3,68,74,30.5,5,10.0,11,E,137,8,8
3,Arizona Diamondbacks,4,66,75,32.0,6,11.5,10,E,109,9,9
4,Colorado Rockies,5,61,81,37.5,7,17.0,4,E,115,10,10
0,New York Mets,1,89,54,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,88,54,0.5,1,+10.0,-,20,144,3,3
2,Philadelphia Phillies,3,79,62,9.0,2,+1.5,-,12,143,5,5
3,Miami Marlins,4,58,84,30.5,9,20.0,1,E,146,12,12
4,Washington Nationals,5,49,93,39.5,12,29.0,E,E,120,15,15
0,St. Louis Cardinals,1,83,59,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,76,66,7.0,4,2.0,19,14,158,7,7
2,Chicago Cubs,3,60,82,23.0,8,18.0,3,E,112,11,11
3,Cincinnati Reds,4,56,85,26.5,10,21.5,E,E,113,13,13
4,Pittsburgh Pirates,5,54,88,29.0,11,24.0,E,E,134,14,14
