,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,104,47,-,-,-,-,-,119,1,1
1,San Diego Padres,2,83,68,21.0,3,-,-,E,135,6,6
2,San Francisco Giants,3,74,77,30.0,5,9.0,3,E,137,8,8
3,Arizona Diamondbacks,4,70,82,34.5,6,13.5,E,E,109,9,9
4,Colorado Rockies,5,65,86,39.0,8,18.0,E,E,115,11,11
0,New York Mets,1,96,56,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,93,58,2.5,1,+10.0,-,9,144,3,3
2,Philadelphia Phillies,3,83,67,12.0,2,+0.5,-,E,143,5,5
3,Miami Marlins,4,62,89,33.5,9,21.0,E,E,146,12,12
4,Washington Nationals,5,52,98,43.0,12,30.5,E,E,120,15,15
0,St. Louis Cardinals,1,89,63,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,81,70,7.5,4,2.0,10,4,158,7,7
2,Chicago Cubs,3,66,85,22.5,7,17.0,E,E,112,10,10
3,Cincinnati Reds,4,59,92,29.5,10,24.0,E,E,113,13,13
4,Pittsburgh Pirates,5,55,96,33.5,11,28.0,E,E,134,14,14
