,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
649557,Aledmys Diaz,6,67,84,33,12,0,12,47,18,0,68,2,.257,265,.308,.438,.746,1,1,.500,7,1054,286,116,35,106,0,1,.271,0.80,0,22.08,6,0,0,0,0,.000,0.00,-.--,0.0,6,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608324,Alex Bregman,139,113,185,87,36,0,21,73,82,1,132,10,.267,494,.376,.468,.844,2,1,.333,17,2292,595,231,85,229,0,9,.271,0.61,0,23.52,138,229,130,7,366,.981,2.58,2.63,1229.1,139,35,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
650556,Bryan Abreu,49,44,39,16,7,0,2,80,23,0,41,4,.202,203,.294,.266,.560,1,4,.800,6,938,,54,,,0,1,,1.13,0,,0,6,1,0,7,1.000,0.14,1.13,56.2,49,0,0,0,2.06,56.2,4,0,2,2,6,0,13,1.13,231,170,49,0,0,583,.620,4,0,7,0,1.000,16.55,17,3.48,12.71,3.65,6.51,2.54,0.32,21,8,,
676801,Chas McCormick,1,76,77,40,11,2,13,93,40,0,74,1,.232,319,.319,.401,.720,2,2,.500,5,1403,361,128,41,121,0,1,.285,0.99,0,24.54,1,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543877,Christian Vazquez,1,23,24,5,1,0,0,11,4,0,19,0,.247,77,.284,.260,.544,3,13,.813,2,312,81,20,6,32,0,0,.288,0.96,0,-.--,0,0,1,0,1,1.000,1.00,9.00,1.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,6,0,,,,,,,,,,,,0,3.20
664299,Cristian Javier,27,61,157,44,18,1,17,173,46,0,85,6,.180,473,.260,.330,.590,2,9,.818,3,2293,,156,,,2,1,,0.39,0,,22,1,2,0,3,1.000,0.11,0.21,131.2,27,0,0,0,2.87,131.2,9,9,0,0,1,0,42,0.99,528,395,27,0,0,1450,.630,6,1,5,0,.500,17.42,0,3.76,11.83,3.14,5.81,3.01,1.16,0,0,,
682073,David Hensley,5,8,3,4,2,0,0,5,4,0,6,0,.273,22,.385,.364,.749,0,0,.---,3,98,26,8,2,12,0,0,.353,2.67,0,-.--,4,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664285,Framber Valdez,27,252,96,56,21,1,9,169,61,0,140,11,.214,653,.292,.291,.583,0,7,1.000,23,2647,,190,,,2,2,,2.63,0,,27,20,5,1,26,.962,0.93,1.26,179.2,27,0,0,1,2.55,179.2,15,5,0,0,0,0,51,1.12,729,539,27,3,1,1711,.650,11,1,10,0,.750,14.73,0,2.77,8.47,3.06,7.01,2.81,0.45,0,0,,
593576,Hector Neris,65,38,67,24,13,1,3,74,15,0,42,6,.190,221,.260,.299,.559,1,3,.750,4,936,,66,,,0,0,,0.57,0,,0,2,2,0,4,1.000,0.06,0.59,61.2,65,1,0,0,3.36,61.2,5,4,3,6,25,3,23,0.92,242,185,65,0,0,623,.670,6,1,5,0,.556,15.18,24,4.93,10.80,2.19,6.13,3.50,0.44,7,1,,
686613,Hunter Brown,2,14,8,2,2,1,0,11,3,0,8,0,.195,41,.250,.293,.543,1,0,.000,2,161,,12,,,0,0,,1.75,0,,2,1,1,0,2,1.000,1.00,1.50,12.0,2,0,0,0,1.50,12.0,2,0,0,0,0,0,2,0.92,44,36,2,0,0,113,.700,0,0,0,0,1.000,13.42,0,3.67,8.25,2.25,6.00,1.50,0.00,0,0,,
