,playername,gamesPlayed,gamesStarted,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,totalBases,groundOutsToAirouts,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,catchersInterference,sacBunts,sacFlies,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,passedBall,catcherERA,plateAppearances,rbi,leftOnBase,babip,atBatsPerHomeRun
502171,Alex Cobb,28,28,193,88,72,24,0,9,151,43,0,152,3,.262,580,.315,.350,.665,2,15,.882,13,2418,3.73,149.2,7,8,0,0,0,0,62,1.30,631,449,28,0,0,1550,.640,3,1,4,1,203,2.19,.467,16.16,0,3.51,9.08,2.59,9.14,4.33,0.54,0,0,1,1,3,27,19,0,46,1.000,1.64,2.78,149.2,28,4,0,0,,,,,,,
622065,Alex Young,23,1,32,20,11,7,1,0,17,11,0,27,1,.284,95,.361,.379,.740,0,1,1.000,7,414,2.55,24.2,1,1,0,2,5,2,7,1.54,108,74,23,0,0,267,.640,1,0,3,0,36,1.60,.500,16.78,1,1.55,6.20,4.01,9.85,4.01,0.00,19,5,0,0,1,1,2,0,3,1.000,0.13,1.13,24.2,23,1,0,0,,,,,,,
607755,Andrew Vasquez,9,0,8,6,6,0,0,1,6,3,0,6,3,.231,26,.375,.346,.721,0,1,1.000,0,118,8.10,6.2,0,0,0,0,0,0,6,1.35,32,20,9,0,0,77,.650,3,1,1,0,9,1.33,.---,17.70,3,2.00,8.10,4.05,8.10,8.10,1.35,2,0,0,0,0,0,1,0,1,1.000,0.11,1.50,6.2,9,0,0,0,,,,,,,
596103,Austin Slater,124,0,71,43,48,15,2,6,89,40,0,71,6,.261,272,.366,.397,.763,1,11,.917,9,1310,,,,,,,,,,,,,,,,,,,,,,108,1.65,,,,,,,,,,,,0,0,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,320,33,113,.363,45.33
642851,Austin Wynns,5,5,43,41,14,7,0,3,38,10,0,42,3,.259,162,.313,.358,.671,5,21,.808,9,703,13.50,2.0,0,0,0,0,0,0,3,2.00,10,6,2,0,0,13,.500,0,0,13,0,58,1.05,.---,13.00,2,0.00,0.00,4.50,13.50,13.50,4.50,0,0,3,1,1,0,0,0,0,.000,0.00,-.--,0.0,5,0,0,0,2,3.76,177,21,80,.320,54.00
543063,Brandon Crawford,115,112,114,101,49,15,2,9,98,39,3,93,8,.231,403,.309,.345,.654,1,1,.500,12,1709,,,,,,,,,,,,,,,,,,,,,,139,1.13,,,,,,,,,,,,0,0,3,286,162,16,464,.966,3.90,4.16,970.0,115,66,0,11,,,453,51,199,.281,44.78
669369,Bryce Johnson,4,3,4,5,1,0,0,0,7,1,0,2,0,.111,18,.158,.111,.269,0,0,.---,0,57,,,,,,,,,,,,,,,,,,,,,,2,0.80,,,,,,,,,,,,0,0,0,0,7,0,7,1.000,1.75,3.32,19.0,4,0,0,0,,,19,2,10,.182,-.--
666808,Camilo Doval,68,0,77,42,27,11,1,4,80,30,2,54,3,.218,248,.305,.319,.624,1,2,.667,2,1121,2.53,67.2,6,6,27,30,1,3,19,1.24,286,203,68,0,0,704,.630,3,0,4,0,79,1.83,.500,16.57,51,2.67,10.64,3.99,7.18,3.59,0.53,19,5,0,1,4,8,9,1,18,.944,0.25,2.28,67.2,68,0,0,0,,,,,,,
686972,Cole Waites,6,0,6,4,2,2,1,1,4,4,0,6,0,.300,20,.417,.650,1.067,0,1,1.000,1,101,3.38,5.1,0,0,0,0,0,0,2,1.88,24,16,6,0,0,64,.630,0,0,0,0,13,1.50,.---,18.94,3,1.00,6.75,6.75,10.13,3.38,1.69,0,0,0,0,0,0,0,0,0,.000,0.00,0.00,5.1,6,0,0,0,,,,,,,
681584,David Villar,9,8,28,33,19,6,1,7,58,18,0,34,5,.224,152,.324,.414,.738,1,0,.000,4,716,,,,,,,,,,,,,,,,,,,,,,63,0.85,,,,,,,,,,,,0,0,1,0,0,0,0,.000,0.00,-.--,0.0,9,0,0,0,,,176,21,68,.307,21.71
