,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,babip,difstrikeOutsbaseOnBalls,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,difstrikeOutsbaseOnBallsperplateAppearance,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score,difstrikeOutsbaseOnBalls_mean,difstrikeOutsbaseOnBalls_std,normalized_difstrikeOutsbaseOnBalls,difstrikeOutsbaseOnBalls_z_score
649557,Aledmys Diaz,7,74,98,35,13,0,12,51,18,0,73,2,294,1,1,7,316.0,122,116.0,0,2,0,0.248,0.294,0.415,0.709,38.0,0.76,0.26180257510729615,33,0.16139240506329114,0.0379746835443038,0.2310126582278481,0.12025316455696203,0.056962025316455694,0.3860759493670886,0.10443037974683544,0.24287195121951222,0.03561090952434352,102.11142075268008,0.1440021849759906,0.29004036874992895,0.045088493949492936,90.2641850290229,-0.6262749355581515,0.7004451219512196,0.1040322185257821,101.2213487938854,0.08223296753649711,90.84756097560975,44.81408007708926,80.35438620041614,-0.39825789004054857,45.99390243902439,26.069632323122935,82.61964735516372,-0.30663656241649606,32.71951219512195,20.118833706237467,55.01304509877003,-0.7316285034235579,148.0670731707317,77.72107838763526,82.3950912160771,-0.3353925821862856,52.75609756097561,31.250839880977548,62.55201109570041,-0.6321781314108358
608324,Alex Bregman,152,127,205,92,38,0,23,77,85,1,140,11,539,2,1,17,645.0,247,251.0,0,10,0,0.26,0.366,0.458,0.824,92.0,0.62,0.26057906458797325,-8,0.11937984496124031,0.03565891472868217,0.21705426356589147,0.14263565891472868,0.13178294573643412,0.3829457364341085,-0.012403100775193798,0.24287195121951222,0.03561090952434352,107.05229595039039,0.48097757145964226,0.29004036874992895,0.045088493949492936,89.8423435713678,-0.6534106948650258,0.7004451219512196,0.1040322185257821,117.6394801215255,1.187659744256632,90.84756097560975,44.81408007708926,154.10430230216795,1.0968079438390375,45.99390243902439,26.069632323122935,200.02651464934377,1.764739026264274,32.71951219512195,20.118833706237467,259.78382407752514,2.5985844193676826,148.0670731707317,77.72107838763526,166.81629123254953,1.27292272420409,52.75609756097561,31.250839880977548,-15.164123901987981,-1.9441428707955455
676801,Chas McCormick,117,83,83,45,11,2,14,105,44,0,84,1,354,3,4,5,400.0,141,129.0,0,1,0,0.237,0.323,0.398,0.721,43.0,1.00,0.2966101694915254,61,0.2625,0.035,0.21,0.1075,0.11,0.3525,0.1525,0.24287195121951222,0.03561090952434352,97.58228515477893,-0.16489191930069008,0.29004036874992895,0.045088493949492936,102.26513321918334,0.14570903053350598,0.7004451219512196,0.1040322185257821,102.93454510633482,0.19758184858555478,90.84756097560975,44.81408007708926,92.46258138130075,-0.152799320299124,45.99390243902439,26.069632323122935,93.49065358610633,-0.11484252642753585,32.71951219512195,20.118833706237467,134.4763324636601,0.5606929293014011,148.0670731707317,77.72107838763526,95.2271136185809,-0.09092865561494849,52.75609756097561,31.250839880977548,115.62644475265833,0.263797788168966
543877,Christian Vazquez,1,28,30,7,3,0,0,18,4,0,24,0,100,3,14,2,104.0,27,38.0,0,0,0,0.24,0.269,0.27,0.539,8.0,0.93,0.2926829268292683,14,0.17307692307692307,0.0,0.23076923076923078,0.07692307692307693,0.038461538461538464,0.25961538461538464,0.1346153846153846,0.24287195121951222,0.03561090952434352,98.81750395420652,-0.08064807267977717,0.29004036874992895,0.045088493949492936,100.91110009642061,0.05860825784732267,0.7004451219512196,0.1040322185257821,76.95106770085225,-1.5518761806584842,90.84756097560975,44.81408007708926,26.417880394657363,-1.49166424616144,45.99390243902439,26.069632323122935,17.39360996950815,-1.4574007783502572,32.71951219512195,20.118833706237467,12.225121133060007,-1.4274938902754588,148.0670731707317,77.72107838763526,18.234979203558048,-1.557712215042971,52.75609756097561,31.250839880977548,26.537216828478964,-1.2401617911257012
676694,Jake Meyers,48,40,21,13,6,2,1,51,7,0,31,2,142,1,2,1,152.0,44,57.0,0,1,0,0.218,0.263,0.31,0.573,14.0,1.90,0.32967032967032966,44,0.3355263157894737,0.006578947368421052,0.20394736842105263,0.09210526315789473,0.046052631578947366,0.2894736842105263,0.2894736842105263,0.24287195121951222,0.03561090952434352,89.75923275840425,-0.6984362812331377,0.29004036874992895,0.045088493949492936,113.66360175695729,0.8789373396413122,0.7004451219512196,0.1040322185257821,81.80512391945886,-1.2250543510194885,90.84756097560975,44.81408007708926,34.123095509765754,-1.3354633381441698,45.99390243902439,26.069632323122935,30.43881744663927,-1.227247935163505,32.71951219512195,20.118833706237467,21.393961982855014,-1.2783798788071943,148.0670731707317,77.72107838763526,29.716262405798293,-1.33898133337388,52.75609756097561,31.250839880977548,83.40268146093388,-0.28018759157591366
665161,Jeremy Pena,134,140,119,71,20,2,21,132,22,0,130,6,515,2,11,5,552.0,217,197.0,1,5,3,0.252,0.288,0.421,0.709,61.0,1.18,0.2970027247956403,110,0.2391304347826087,0.03804347826086957,0.23550724637681159,0.1105072463768116,0.03985507246376811,0.39311594202898553,0.19927536231884058,0.24287195121951222,0.03561090952434352,103.75837915191684,0.25632731380387447,0.29004036874992895,0.045088493949492936,102.40047827677196,0.1544153604578243,0.7004451219512196,0.1040322185257821,101.2213487938854,0.08223296753649711,90.84756097560975,44.81408007708926,143.09685213772735,0.8736637895286515,45.99390243902439,26.069632323122935,132.6262760174997,0.5756160031327208,32.71951219512195,20.118833706237467,67.23816623183005,-0.5328098214658719,148.0670731707317,77.72107838763526,146.55520322859616,0.8869270506703999,52.75609756097561,31.250839880977548,208.5067036523347,1.831755647433619
514888,Jose Altuve,139,132,150,102,37,0,28,86,66,2,155,10,522,1,18,13,599.0,276,132.0,0,1,0,0.297,0.386,0.529,0.915,57.0,0.88,0.3105134474327628,20,0.14357262103505844,0.04674457429048414,0.2587646076794658,0.09515859766277128,0.11018363939899833,0.4607679465776294,0.0333889816360601,0.24287195121951222,0.03561090952434352,122.28666114333055,1.5199850131175667,0.29004036874992895,0.045088493949492936,107.05869971517158,0.45406437184988563,0.7004451219512196,0.1040322185257821,130.6312188242668,2.0623887588786523,90.84756097560975,44.81408007708926,170.6154775488288,1.4315241753046166,45.99390243902439,26.069632323122935,123.92947103274558,0.42218077434155266,32.71951219512195,20.118833706237467,201.71449869549014,1.6541956800686741,148.0670731707317,77.72107838763526,186.40200963637113,1.646051875286657,52.75609756097561,31.250839880977548,37.910309754969944,-1.0481669512157437
663656,Kyle Tucker,147,125,181,70,28,1,29,94,59,4,139,1,537,4,25,11,602.0,256,242.0,0,2,3,0.259,0.332,0.477,0.809,104.0,0.69,0.2644230769230769,35,0.15614617940199335,0.04817275747508306,0.23089700996677742,0.17275747508305647,0.09800664451827243,0.42524916943521596,0.05813953488372093,0.24287195121951222,0.03561090952434352,106.6405563505812,0.4528962892526713,0.29004036874992895,0.045088493949492936,91.16768057589285,-0.5681558549182836,0.7004451219512196,0.1040322185257821,115.49798473096375,1.0434736429453109,90.84756097560975,44.81408007708926,153.00355728572387,1.074493528407999,45.99390243902439,26.069632323122935,226.116929603606,2.2250447126377786,32.71951219512195,20.118833706237467,180.32053671263512,1.3062629866427236,148.0670731707317,77.72107838763526,172.89461763373555,1.3887214262641971,52.75609756097561,31.250839880977548,66.34304207119742,-0.5681798514408499
671277,Luis Garcia,90,111,67,29,22,2,7,79,11,1,96,1,348,4,3,5,365.0,143,145.0,1,4,0,0.276,0.297,0.411,0.708,45.0,1.66,0.33458646616541354,68,0.21643835616438356,0.019178082191780823,0.26301369863013696,0.1232876712328767,0.030136986301369864,0.3917808219178082,0.1863013698630137,0.24287195121951222,0.03561090952434352,113.64012954733751,0.9302780867711778,0.29004036874992895,0.045088493949492936,115.35858529192949,0.9879704002840299,0.7004451219512196,0.1040322185257821,101.07858243451462,0.07262056078240897,90.84756097560975,44.81408007708926,105.67152157862945,0.1149736648733392,45.99390243902439,26.069632323122935,97.83905607848337,-0.038124912031951785,32.71951219512195,20.118833706237467,33.619083115915025,-1.0795611968495085,148.0670731707317,77.72107838763526,96.57785281884446,-0.0651956107127025,52.75609756097561,31.250839880977548,128.8950531668978,0.4877917680639164
455117,Martin Maldonado,110,85,84,39,12,0,14,112,22,0,63,7,338,0,0,6,373.0,117,168.0,4,2,0,0.186,0.249,0.346,0.595,44.0,1.01,0.22897196261682243,90,0.3002680965147453,0.03753351206434316,0.16890080428954424,0.11796246648793565,0.058981233243967826,0.3136729222520107,0.24128686327077747,0.24287195121951222,0.03561090952434352,76.58356556451005,-1.597037311856208,0.29004036874992895,0.045088493949492936,78.94485984957517,-1.3544121966352192,0.7004451219512196,0.1040322185257821,84.94598382561611,-1.0135814024295495,90.84756097560975,44.81408007708926,69.34693603597557,-0.6214020443509346,45.99390243902439,26.069632323122935,95.66485483229485,-0.07648371922974383,32.71951219512195,20.118833706237467,67.23816623183005,-0.5328098214658719,148.0670731707317,77.72107838763526,79.0182432154182,-0.39972519444190063,52.75609756097561,31.250839880977548,170.59639389736475,1.1917728477337606
