,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,95,51,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,80,64,14.0,3,-,-,4,136,5,5
2,Los Angeles Angels,3,63,82,31.5,8,17.5,1,E,108,11,11
3,Texas Rangers,4,63,82,31.5,9,17.5,1,E,140,12,12
4,Oakland Athletics,5,53,93,42.0,12,28.0,E,E,133,15,15
0,New York Yankees,1,87,58,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,83,63,4.5,1,+2.0,-,13,141,3,3
2,Tampa Bay Rays,3,81,64,6.0,2,+0.5,-,12,139,4,4
3,Baltimore Orioles,4,75,69,11.5,4,5.0,14,7,110,7,7
4,Boston Red Sox,5,70,75,17.0,7,10.5,8,1,111,10,10
0,Cleveland Guardians,1,79,66,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,75,71,4.5,5,6.0,12,13,145,8,8
2,Minnesota Twins,3,72,73,7.0,6,8.5,10,11,142,9,9
3,Kansas City Royals,4,58,88,21.5,10,23.0,E,E,118,13,13
4,Detroit Tigers,5,55,90,24.0,11,25.5,E,E,116,14,14
