,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,92,42,-,-,-,-,-,119,1,1
1,San Diego Padres,2,74,62,19.0,3,-,-,9,135,6,6
2,San Francisco Giants,3,65,68,26.5,5,7.5,22,3,137,8,8
3,Arizona Diamondbacks,4,65,69,27.0,6,8.0,21,2,109,9,9
4,Colorado Rockies,5,57,79,36.0,7,17.0,11,E,115,10,10
0,New York Mets,1,85,50,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,84,51,1.0,1,+10.5,-,27,144,3,3
2,Philadelphia Phillies,3,73,61,11.5,2,-,-,17,143,5,5
3,Miami Marlins,4,55,78,29.0,9,17.5,12,E,146,12,12
4,Washington Nationals,5,48,87,37.0,12,25.5,3,E,120,15,15
0,St. Louis Cardinals,1,79,56,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,71,63,7.5,4,2.0,27,21,158,7,7
2,Chicago Cubs,3,56,78,22.5,8,17.0,12,6,112,11,11
3,Cincinnati Reds,4,53,79,24.5,10,19.0,11,5,113,13,13
4,Pittsburgh Pirates,5,49,84,29.0,11,23.5,6,E,134,14,14
