,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,106,47,-,-,-,-,-,119,1,1
1,San Diego Padres,2,85,68,21.0,2,+1.5,-,E,135,5,5
2,San Francisco Giants,3,75,78,31.0,5,8.5,2,E,137,8,8
3,Arizona Diamondbacks,4,71,83,35.5,6,13.0,E,E,109,9,9
4,Colorado Rockies,5,65,88,41.0,8,18.5,E,E,115,11,11
0,New York Mets,1,97,57,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,95,58,1.5,1,+11.5,-,8,144,3,3
2,Philadelphia Phillies,3,83,69,13.0,3,-,-,E,143,6,6
3,Miami Marlins,4,63,90,33.5,9,20.5,E,E,146,12,12
4,Washington Nationals,5,53,99,43.0,12,30.0,E,E,120,15,15
0,St. Louis Cardinals,1,89,65,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,82,71,6.5,4,1.5,9,3,158,7,7
2,Chicago Cubs,3,67,86,21.5,7,16.5,E,E,112,10,10
3,Cincinnati Reds,4,60,93,28.5,10,23.5,E,E,113,13,13
4,Pittsburgh Pirates,5,56,97,32.5,11,27.5,E,E,134,14,14
