,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,95,43,-,-,-,-,-,119,1,1
1,San Diego Padres,2,77,63,19.0,3,-,-,5,135,6,6
2,San Francisco Giants,3,66,73,29.5,5,10.5,13,E,137,8,8
3,Arizona Diamondbacks,4,65,73,30.0,6,11.0,13,E,109,9,9
4,Colorado Rockies,5,61,79,35.0,7,16.0,7,E,115,10,10
0,New York Mets,1,88,52,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,87,52,0.5,1,+10.5,-,23,144,3,3
2,Philadelphia Phillies,3,77,62,10.5,2,+0.5,-,13,143,5,5
3,Miami Marlins,4,57,81,30.0,9,19.0,5,E,146,12,12
4,Washington Nationals,5,49,91,39.0,12,28.0,E,E,120,15,15
0,St. Louis Cardinals,1,82,58,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,74,66,8.0,4,3.0,20,15,158,7,7
2,Chicago Cubs,3,58,81,23.5,8,18.5,5,E,112,11,11
3,Cincinnati Reds,4,56,81,24.5,10,19.5,5,E,113,13,13
4,Pittsburgh Pirates,5,51,87,30.0,11,25.0,E,E,134,14,14
