,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,97,51,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,81,65,15.0,3,-,-,1,136,5,5
2,Los Angeles Angels,3,64,83,32.5,8,17.5,E,E,108,11,11
3,Texas Rangers,4,63,83,33.0,9,18.0,E,E,140,12,12
4,Oakland Athletics,5,53,94,43.5,12,28.5,E,E,133,15,15
0,New York Yankees,1,88,58,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,83,64,5.5,1,+1.5,-,11,141,3,3
2,Tampa Bay Rays,3,82,65,6.5,2,+0.5,-,10,139,4,4
3,Baltimore Orioles,4,76,70,12.0,4,5.0,12,5,110,7,7
4,Boston Red Sox,5,71,75,17.0,7,10.0,7,E,111,10,10
0,Cleveland Guardians,1,80,67,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,76,71,4.0,5,5.5,11,12,145,8,8
2,Minnesota Twins,3,73,74,7.0,6,8.5,8,9,142,9,9
3,Kansas City Royals,4,58,89,22.0,10,23.5,E,E,118,13,13
4,Detroit Tigers,5,56,91,24.0,11,25.5,E,E,116,14,14
