,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,109,48,-,-,-,-,-,119,1,1
1,San Diego Padres,2,86,71,23.0,2,+1.5,-,E,135,5,5
2,San Francisco Giants,3,79,78,30.0,5,5.5,1,E,137,8,8
3,Arizona Diamondbacks,4,72,85,37.0,6,12.5,E,E,109,9,9
4,Colorado Rockies,5,65,92,44.0,8,19.5,E,E,115,11,11
0,Atlanta Braves,1,98,59,-,-,+13.5,-,-,144,2,2
1,New York Mets,2,98,59,-,1,+13.5,-,-,121,3,3
2,Philadelphia Phillies,3,84,72,13.5,3,-,-,E,143,6,6
3,Miami Marlins,4,65,92,33.0,9,19.5,E,E,146,12,12
4,Washington Nationals,5,54,102,43.5,12,30.0,E,E,120,15,15
0,St. Louis Cardinals,1,91,66,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,84,73,7.0,4,0.5,6,E,158,7,7
2,Chicago Cubs,3,71,86,20.0,7,13.5,E,E,112,10,10
3,Cincinnati Reds,4,60,97,31.0,10,24.5,E,E,113,13,13
4,Pittsburgh Pirates,5,59,98,32.0,11,25.5,E,E,134,14,14
