,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,102,55,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,86,70,15.5,2,+0.5,-,E,136,5,5
2,Los Angeles Angels,3,71,86,31.0,8,15.0,E,E,108,11,11
3,Texas Rangers,4,66,90,35.5,9,19.5,E,E,140,12,12
4,Oakland Athletics,5,56,101,46.0,12,30.0,E,E,133,15,15
0,New York Yankees,1,96,60,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,88,69,8.5,1,+2.0,-,E,141,4,4
2,Tampa Bay Rays,3,86,71,10.5,3,-,-,E,139,6,6
3,Baltimore Orioles,4,81,76,15.5,4,5.0,1,E,110,7,7
4,Boston Red Sox,5,75,82,21.5,7,11.0,E,E,111,10,10
0,Cleveland Guardians,1,89,68,-,-,-,-,-,114,3,3
1,Chicago White Sox,2,78,79,11.0,5,8.0,E,E,145,8,8
2,Minnesota Twins,3,77,80,12.0,6,9.0,E,E,142,9,9
3,Detroit Tigers,4,63,93,25.5,10,22.5,E,E,116,13,13
4,Kansas City Royals,5,63,94,26.0,11,23.0,E,E,118,14,14
