,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,baseOnBallsperplateAppearance,totalBasesperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score,baseOnBalls_mean,baseOnBalls_std,normalized_baseOnBalls,baseOnBalls_z_score,totalBases_mean,totalBases_std,normalized_totalBases,totalBases_z_score
649557,Aledmys Diaz,7,72,93,35,13,0,12,50,18,0,73,2,286,1,1,7,308.0,122,113.0,0,2,0,0.255,0.302,0.427,0.729,38.0,0.77,0.16233766233766234,0.03896103896103896,0.237012987012987,0.12337662337662338,0.05844155844155844,0.3961038961038961,0.26991150442477874,0.2439102564102564,0.0359564919518328,104.54664914586071,0.30842117758871984,0.2899922083791499,0.04428521231313234,93.07543327918773,-0.45344039026807237,0.7050769230769232,0.10501456356522196,103.39297403447523,0.2278072308344051,89.06410256410257,43.16520096128503,81.96343745501655,-0.3721540084687779,45.21153846153846,25.551468517960323,84.04934070608252,-0.2822357727294388,31.67948717948718,19.197105688933753,56.81910157830837,-0.7125807088394983,145.52564102564102,74.88093333423262,83.83402343405868,-0.3141739823224936
608324,Alex Bregman,146,121,198,90,38,0,21,74,84,1,136,11,519,2,1,17,624.0,237,246.0,0,10,0,0.262,0.37,0.457,0.827,90.0,0.61,0.11858974358974358,0.03365384615384615,0.21794871794871795,0.14423076923076922,0.1346153846153846,0.3798076923076923,0.26497695852534564,0.2439102564102564,0.0359564919518328,107.41655716162943,0.5031009035580158,0.2899922083791499,0.04428521231313234,91.37382000929553,-0.5648668832594993,0.7050769230769232,0.10501456356522196,117.29216670303293,1.1610111282075022,89.06410256410257,43.16520096128503,152.6990067655103,1.0873550079841943,45.21153846153846,25.551468517960323,199.06422798809018,1.752872305831635,31.67948717948718,19.197105688933753,265.1558073654391,2.725437556489215,145.52564102564102,74.88093333423262,162.8578979825566,1.2215974734991784
676801,Chas McCormick,1,80,80,43,11,2,13,101,43,0,80,1,340,3,4,5,385.0,134,125.0,0,1,0,0.235,0.322,0.394,0.716,41.0,1.00,0.2623376623376623,0.033766233766233764,0.2077922077922078,0.10649350649350649,0.11168831168831168,0.34805194805194806,0.29515418502202645,0.2439102564102564,0.0359564919518328,96.34691195795007,-0.24780661089498296,0.2899922083791499,0.04428521231313234,101.78003977131948,0.11656208411912276,0.7050769230769232,0.10501456356522196,101.54920357844206,0.10401487710123901,89.06410256410257,43.16520096128503,89.82294515618253,-0.20998633997400323,45.21153846153846,25.551468517960323,90.68481497235219,-0.16482569127399221,31.67948717948718,19.197105688933753,135.73452043707002,0.5896989371183478,145.52564102564102,74.88093333423262,92.0799929521628,-0.15391956954110175
665161,Jeremy Pena,127,133,115,68,20,1,19,129,22,0,122,6,493,2,11,5,530.0,201,191.0,1,5,3,0.247,0.285,0.408,0.693,55.0,1.16,0.24339622641509434,0.035849056603773584,0.23018867924528302,0.10377358490566038,0.04150943396226415,0.37924528301886795,0.29428571428571426,0.2439102564102564,0.0359564919518328,101.26675427069645,0.08593006219523873,0.2899922083791499,0.04428521231313234,101.48055905728019,0.09695123230313966,0.7050769230769232,0.10501456356522196,98.28714815622952,-0.11500236411897792,89.06410256410257,43.16520096128503,136.97999136317833,0.7630196709946448,45.21153846153846,25.551468517960323,121.65036154827733,0.3830880221847584,31.67948717948718,19.197105688933753,69.44556859571024,-0.5042159654862429,145.52564102564102,74.88093333423262,138.11998942824422,0.7408342351550028
514888,Jose Altuve,2,127,145,96,34,0,26,86,64,2,149,10,506,1,18,13,581.0,261,126.0,0,1,0,0.294,0.384,0.516,0.9,55.0,0.88,0.14802065404475043,0.04475043029259897,0.25645438898450945,0.09466437177280551,0.11015490533562823,0.44922547332185886,0.31139240506329113,0.2439102564102564,0.0359564919518328,120.53613666228647,1.393065365131939,0.2899922083791499,0.04428521231313234,107.37957643888197,0.48323572511800317,0.7050769230769232,0.10501456356522196,127.64564695614224,1.8561528068629733,89.06410256410257,43.16520096128503,167.29523535338996,1.3885235351887757,45.21153846153846,25.551468517960323,121.65036154827733,0.3830880221847584,31.67948717948718,19.197105688933753,202.0234722784298,1.6836138397229383,145.52564102564102,74.88093333423262,179.34983701876487,1.542106299061962
663656,Kyle Tucker,142,122,174,69,28,1,29,91,57,4,135,0,520,4,23,11,582.0,252,238.0,0,2,3,0.26,0.332,0.485,0.817,104.0,0.70,0.1563573883161512,0.04982817869415808,0.23195876288659795,0.17869415807560138,0.0979381443298969,0.4329896907216495,0.263681592039801,0.2439102564102564,0.0359564919518328,106.59658344283838,0.44747812470964554,0.2899922083791499,0.04428521231313234,90.92712990931497,-0.5941174257743536,0.7050769230769232,0.10501456356522196,115.87388173685358,1.0657862407204515,89.06410256410257,43.16520096128503,151.57621995105802,1.0641881981992263,45.21153846153846,25.551468517960323,230.02977456401533,2.3007860192903857,31.67948717948718,19.197105688933753,179.92715499797654,1.3189755388547415,145.52564102564102,74.88093333423262,173.16535988018677,1.4219154894759183
671277,Luis Garcia,59,107,63,26,21,2,6,75,9,1,91,1,331,4,3,5,346.0,134,143.0,1,4,0,0.275,0.293,0.405,0.698,38.0,1.70,0.21676300578034682,0.017341040462427744,0.2630057803468208,0.10982658959537572,0.02601156069364162,0.3872832369942196,0.3346456692913386,0.2439102564102564,0.0359564919518328,112.74638633377137,0.8646489660724227,0.2899922083791499,0.04428521231313234,115.39815885460156,1.0083153852002005,0.7050769230769232,0.10501456356522196,98.99629063931921,-0.0673899203754525,89.06410256410257,43.16520096128503,102.17360011515761,0.04484856766064269,45.21153846153846,25.551468517960323,84.04934070608252,-0.2822357727294388,31.67948717948718,19.197105688933753,28.409550789154185,-1.181401381384323,145.52564102564102,74.88093333423262,92.0799929521628,-0.15391956954110175
455117,Martin Maldonado,107,82,81,39,12,0,14,109,22,0,62,7,329,14,42,6,363.0,116,166.0,3,2,0,0.188,0.253,0.353,0.606,44.0,1.01,0.3002754820936639,0.03856749311294766,0.17079889807162535,0.12121212121212122,0.06060606060606061,0.31955922865013775,0.23076923076923078,0.2439102564102564,0.0359564919518328,77.07752956636006,-1.5549419138316831,0.2899922083791499,0.04428521231313234,79.57773488434967,-1.337308201012218,0.7050769230769232,0.10501456356522196,85.94806895046912,-0.9434588852563192,89.06410256410257,43.16520096128503,69.61278249604145,-0.6269889161034238,45.21153846153846,25.551468517960323,97.32028923862187,-0.04741560981854566,31.67948717948718,19.197105688933753,69.44556859571024,-0.5042159654862429,145.52564102564102,74.88093333423262,79.7110386750066,-0.39430118871318953
641820,Trey Mancini,20,34,38,16,6,0,8,44,16,0,27,1,142,0,0,3,160.0,57,58.0,0,1,0,0.19,0.275,0.401,0.676,21.0,0.89,0.275,0.05,0.16875,0.13125,0.1,0.35625,0.2087912087912088,0.2439102564102564,0.0359564919518328,77.89750328515112,-1.4993191349833128,0.2899922083791499,0.04428521231313234,71.99890299060209,-1.8335917419517884,0.7050769230769232,0.10501456356522196,95.87606371372463,-0.2768846728469633,89.06410256410257,43.16520096128503,30.3152439902116,-1.437827258577297,45.21153846153846,25.551468517960323,46.44831986388771,-0.9475595676436359,31.67948717948718,19.197105688933753,50.50586806960745,-0.816763080516126,145.52564102564102,74.88093333423262,39.168355210994626,-1.1822187182216994
669257,Will Smith,130,98,170,64,25,3,23,86,56,4,127,10,477,0,1,11,547.0,227,224.0,0,4,0,0.266,0.353,0.476,0.829,85.0,0.58,0.15722120658135283,0.04204753199268738,0.23217550274223034,0.15539305301645337,0.10237659963436929,0.4149908592321755,0.27956989247311825,0.2439102564102564,0.0359564919518328,109.05650459921156,0.6143464612547564,0.2899922083791499,0.04428521231313234,96.40600140111178,-0.2353452848399469,0.7050769230769232,0.10501456356522196,117.5758236962688,1.1800561057049124,89.06410256410257,43.16520096128503,142.59392543543973,0.8788537199194839,45.21153846153846,25.551468517960323,188.00510421097405,1.557188836739224,31.67948717948718,19.197105688933753,176.77053824362608,1.2668843530164278,145.52564102564102,74.88093333423262,155.98625671746984,1.0880521295146852
