,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,87,48,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,76,59,11.0,2,+0.5,-,17,136,4,4
2,Los Angeles Angels,3,59,76,28.0,8,16.5,12,E,108,11,11
3,Texas Rangers,4,58,76,28.5,9,17.0,12,E,140,12,12
4,Oakland Athletics,5,50,85,37.0,12,25.5,3,E,133,15,15
0,New York Yankees,1,81,54,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,75,58,5.0,1,+0.5,-,24,139,3,3
2,Toronto Blue Jays,3,75,59,5.5,3,-,-,23,141,5,5
3,Baltimore Orioles,4,71,64,10.0,4,4.5,24,18,110,6,6
4,Boston Red Sox,5,67,69,14.5,7,9.0,19,13,111,10,10
0,Cleveland Guardians,1,69,64,-,-,-,-,-,114,7,7
1,Minnesota Twins,2,68,65,1.0,5,6.5,23,29,142,8,8
2,Chicago White Sox,3,68,67,2.0,6,7.5,21,27,145,9,9
3,Kansas City Royals,4,55,81,15.5,10,21.0,7,13,118,13,13
4,Detroit Tigers,5,51,84,19.0,11,24.5,4,10,116,14,14
