,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,107,48,-,-,-,-,-,119,1,1
1,San Diego Padres,2,86,69,21.0,2,+2.5,-,E,135,5,5
2,San Francisco Giants,3,77,78,30.0,5,6.5,2,E,137,8,8
3,Arizona Diamondbacks,4,72,84,35.5,6,12.0,E,E,109,9,9
4,Colorado Rockies,5,65,90,42.0,8,18.5,E,E,115,11,11
0,New York Mets,1,98,58,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,97,59,1.0,1,+13.0,-,6,144,3,3
2,Philadelphia Phillies,3,83,71,14.0,3,-,-,E,143,6,6
3,Miami Marlins,4,64,91,33.5,9,19.5,E,E,146,12,12
4,Washington Nationals,5,54,101,43.5,12,29.5,E,E,120,15,15
0,St. Louis Cardinals,1,90,66,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,83,72,6.5,4,0.5,8,1,158,7,7
2,Chicago Cubs,3,69,86,20.5,7,14.5,E,E,112,10,10
3,Cincinnati Reds,4,60,96,30.0,10,24.0,E,E,113,13,13
4,Pittsburgh Pirates,5,59,97,31.0,11,25.0,E,E,134,14,14
