,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,99,53,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,82,68,16.0,3,-,-,E,136,6,6
2,Los Angeles Angels,3,66,85,32.5,8,16.5,E,E,108,11,11
3,Texas Rangers,4,65,85,33.0,9,17.0,E,E,140,12,12
4,Oakland Athletics,5,55,96,43.5,12,27.5,E,E,133,15,15
0,New York Yankees,1,92,58,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,84,67,8.5,1,+1.5,-,4,139,4,4
2,Toronto Blue Jays,3,84,67,8.5,2,+1.5,-,4,141,5,5
3,Baltimore Orioles,4,79,71,13.0,4,3.0,10,E,110,7,7
4,Boston Red Sox,5,72,78,20.0,7,10.0,3,E,111,10,10
0,Cleveland Guardians,1,84,67,-,-,-,-,-,114,3,3
1,Chicago White Sox,2,76,75,8.0,5,6.5,6,4,145,8,8
2,Minnesota Twins,3,73,78,11.0,6,9.5,3,1,142,9,9
3,Kansas City Royals,4,62,89,22.0,10,20.5,E,E,118,13,13
4,Detroit Tigers,5,58,92,25.5,11,24.0,E,E,116,14,14
