,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
608324,Alex Bregman,129.0,108.0,170.0,81.0,34.0,0.0,20.0,70.0,74.0,1.0,123.0,7.0,463.0,1.0,1.0,17.0,552.0,217.0,214.0,0.0,8.0,0.0,0.266,0.37,0.469,0.839,78.0,0.64,0.12681159420289856,0.036231884057971016,0.22282608695652173,0.27034120734908135,0.24596202531645575,0.03489308256887876,108.1467757706757,0.5742678264091287,0.2931348731701353,0.04617977628970606,92.2241712237955,-0.49358545346905247,0.7071645569620253,0.10104976769432156,118.64282390004655,1.3046585464380351,81.91772151898734,36.60896225063545,150.15066058873524,1.1221918337851702,41.063291139240505,22.1024492242574,189.9506781750925,1.671159086759558
676801,Chas McCormick,1.0,70.0,71.0,38.0,11.0,2.0,12.0,87.0,37.0,0.0,70.0,1.0,297.0,2.0,2.0,5.0,336.0,121.0,115.0,0.0,1.0,0.0,0.236,0.321,0.407,0.728,38.0,0.99,0.25892857142857145,0.03571428571428571,0.20833333333333334,0.2914572864321608,0.24596202531645575,0.03489308256887876,95.94977098450926,-0.2855014399140798,0.2931348731701353,0.04617977628970606,99.42770823551899,-0.036327303264751296,0.7071645569620253,0.10104976769432156,102.94633587512978,0.20618991526039426,81.91772151898734,36.60896225063545,85.45159545700379,-0.32554109120589647,41.063291139240505,22.1024492242574,92.54007398273737,-0.13859509903900372
665161,Jeremy Pena,110.0,116.0,95.0,54.0,17.0,1.0,16.0,115.0,19.0,0.0,107.0,5.0,428.0,2.0,9.0,3.0,460.0,174.0,163.0,0.0,5.0,3.0,0.25,0.287,0.407,0.694,46.0,1.22,0.25,0.034782608695652174,0.2326086956521739,0.30132450331125826,0.24596202531645575,0.03489308256887876,101.64170655138693,0.11572421770341751,0.2931348731701353,0.04617977628970606,102.79380957050775,0.17734235197991854,0.7071645569620253,0.10104976769432156,98.13840260623635,-0.13027795374897352,81.91772151898734,36.60896225063545,130.61886734142007,0.6851403847312633,41.063291139240505,22.1024492242574,112.02219482120839,0.22335573812070864
514888,Jose Altuve,2.0,113.0,130.0,80.0,33.0,0.0,24.0,75.0,54.0,1.0,130.0,8.0,447.0,1.0,15.0,12.0,510.0,235.0,116.0,0.0,1.0,0.0,0.291,0.376,0.526,0.902,52.0,0.87,0.14705882352941177,0.047058823529411764,0.2549019607843137,0.3037249283667622,0.24596202531645575,0.03489308256887876,118.3109464258144,1.2907422150118009,0.2931348731701353,0.04617977628970606,103.61269032309248,0.2293223581290388,0.7071645569620253,0.10104976769432156,127.55164142770201,1.9281137154848047,81.91772151898734,36.60896225063545,158.69582013443562,1.3134018427462544,41.063291139240505,22.1024492242574,126.63378545006165,0.4948188659904929
663656,Kyle Tucker,3.0,103.0,155.0,60.0,24.0,1.0,23.0,79.0,52.0,3.0,118.0,0.0,453.0,2.0,22.0,8.0,510.0,213.0,202.0,0.0,2.0,3.0,0.26,0.335,0.47,0.805,86.0,0.66,0.15490196078431373,0.045098039215686274,0.23137254901960785,0.26912181303116145,0.24596202531645575,0.03489308256887876,105.70737481344241,0.40231397314448697,0.2931348731701353,0.04617977628970606,91.80818717360978,-0.5199908286330659,0.7071645569620253,0.10104976769432156,113.83489063115313,0.9681906774286684,81.91772151898734,36.60896225063545,144.04697519894924,0.9856132559558243,41.063291139240505,22.1024492242574,209.4327990135635,2.0331099239192705
671277,Luis Garcia,59.0,81.0,54.0,23.0,17.0,2.0,6.0,61.0,5.0,0.0,80.0,1.0,272.0,4.0,2.0,4.0,282.0,119.0,124.0,1.0,3.0,0.0,0.294,0.306,0.438,0.744,31.0,1.50,0.21631205673758866,0.02127659574468085,0.28368794326241137,0.3557692307692308,0.24596202531645575,0.03489308256887876,119.53064690443102,1.3767191416441216,0.2931348731701353,0.04617977628970606,121.36707820592281,1.3563157431981172,0.7071645569620253,0.10104976769432156,105.2088927075502,0.364527735970685,81.91772151898734,36.60896225063545,97.65896623657576,-0.05238393554720464,41.063291139240505,22.1024492242574,75.49321824907523,-0.455302081553752
455117,Martin Maldonado,97.0,74.0,73.0,31.0,12.0,0.0,12.0,101.0,21.0,0.0,52.0,6.0,295.0,13.0,34.0,5.0,327.0,100.0,148.0,3.0,2.0,0.0,0.176,0.244,0.339,0.583,38.0,1.01,0.308868501529052,0.03669724770642202,0.15902140672782875,0.21739130434782608,0.24596202531645575,0.03489308256887876,71.5557614121764,-2.005039972560495,0.2931348731701353,0.04617977628970606,74.16084684733238,-1.6401891673778688,0.7071645569620253,0.10104976769432156,82.44191458131958,-1.2287465849266144,81.91772151898734,36.60896225063545,63.47832805377425,-0.8172239713915417,41.063291139240505,22.1024492242574,92.54007398273737,-0.13859509903900372
641820,Trey Mancini,14.0,19.0,27.0,12.0,3.0,0.0,6.0,29.0,7.0,0.0,18.0,1.0,92.0,0.0,0.0,1.0,101.0,39.0,41.0,0.0,1.0,0.0,0.196,0.257,0.424,0.681,17.0,0.70,0.2871287128712871,0.0594059405940594,0.1782178217821782,0.20689655172413793,0.24596202531645575,0.03489308256887876,79.68709793628736,-1.4318604616783561,0.2931348731701353,0.04617977628970606,70.58066803401289,-1.8674477958703488,0.7071645569620253,0.10104976769432156,96.30007517989476,-0.2589274330760836,81.91772151898734,36.60896225063545,21.973267403229546,-1.745958300631094,41.063291139240505,22.1024492242574,41.39950678175093,-1.0887160465832486
669257,Will Smith,20.0,86.0,151.0,58.0,23.0,1.0,21.0,78.0,51.0,3.0,110.0,9.0,421.0,9.0,40.0,8.0,485.0,198.0,196.0,0.0,4.0,0.0,0.261,0.351,0.47,0.821,80.0,0.57,0.16082474226804125,0.04329896907216495,0.2268041237113402,0.27300613496932513,0.24596202531645575,0.03489308256887876,106.11394163964796,0.4309729486885939,0.2931348731701353,0.04617977628970606,93.13328435367447,-0.43587777633511576,0.7071645569620253,0.10104976769432156,116.09744746357356,1.126528498138958,81.91772151898734,36.60896225063545,134.28107857529167,0.7670875314288708,41.063291139240505,22.1024492242574,194.82120838471025,1.7616467960494862
670541,Yordan Alvarez,65.0,102.0,88.0,78.0,18.0,2.0,31.0,92.0,65.0,7.0,114.0,5.0,390.0,1.0,1.0,12.0,466.0,229.0,190.0,0.0,6.0,0.0,0.292,0.395,0.587,0.982,82.0,1.16,0.19742489270386265,0.06652360515021459,0.2446351931330472,0.304029304029304,0.24596202531645575,0.03489308256887876,118.71751325201994,1.3194011905559078,0.2931348731701353,0.04617977628970606,103.71652500480404,0.23591346113985331,0.7071645569620253,0.10104976769432156,138.8644255898042,2.719802819036257,81.91772151898734,36.60896225063545,139.16402688712046,0.8763503936923475,41.063291139240505,22.1024492242574,199.691738594328,1.8521345053394143
