,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
519390,Stephen Vogt,19,24,53,14,2,0,6,34,14,0,22,2,.169,130,.255,.323,.578,2,11,.846,3,552,149,42,17,54,0,3,.172,0.45,0,21.67,13,0,0,0,0,.000,0.00,-.--,0.0,19,0,0,0,,,,,,,,,,,,,,,,,,,,8,0,,,,,,,,,,,,0,4.12
643393,Tony Kemp,2,120,145,43,21,0,4,60,38,0,93,6,.227,410,.300,.307,.607,1,8,.889,5,1714,462,126,34,123,5,3,.255,0.83,0,102.50,2,0,0,0,0,.000,0.00,-.--,0.0,2,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605353,Vimael Machin,1,45,46,15,5,0,1,28,16,0,35,1,.230,152,.304,.283,.587,1,1,.500,5,667,171,43,6,55,0,2,.272,0.98,0,152.00,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
656657,Zach Logue,13,43,75,36,15,3,11,40,18,0,58,2,.272,213,.333,.526,.859,1,3,.750,2,939,,112,,,2,1,,0.57,0,,10,4,3,0,7,1.000,0.54,1.17,54.0,13,0,0,0,5.83,54.0,3,8,0,0,0,0,35,1.41,236,162,13,0,0,586,.620,2,0,0,0,.273,17.39,1,2.22,6.67,3.00,9.67,6.00,1.83,1,1,,
676265,,9,15,40,13,7,0,6,23,12,0,19,2,.196,97,.297,.454,.751,0,2,1.000,0,426,,44,,,0,0,,0.38,0,,4,1,0,0,1,1.000,0.11,0.36,25.2,9,0,0,0,4.56,25.2,0,2,0,0,0,0,13,1.21,111,77,9,0,0,270,.630,2,0,1,0,.000,16.60,5,1.92,8.06,4.21,6.66,4.56,2.10,2,0,,
543305,Aaron Hicks,77,73,97,42,5,2,6,86,55,3,70,4,.217,323,.336,.300,.636,3,9,.750,9,1694,385,97,33,156,1,2,.275,0.75,0,53.83,62,1,119,0,120,1.000,1.56,1.95,555.2,77,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
592450,Aaron Judge,19,97,96,105,20,0,52,146,79,11,141,5,.296,476,.399,.666,1.065,2,15,.882,14,2378,568,317,114,182,0,4,.316,1.01,4,9.15,19,0,0,0,0,.000,0.00,-.--,0.0,19,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
519203,Anthony Rizzo,9,85,145,71,19,1,30,93,55,6,93,18,.225,414,.339,.493,.832,3,6,.667,10,1906,489,204,71,189,0,2,.215,0.59,0,13.80,9,0,0,0,0,.000,0.00,-.--,0.0,9,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
657376,Clarke Schmidt,19,0,0,0,0,0,0,0,0,0,0,0,.000,0,.000,.000,.000,0,0,.---,0,0,0,0,0,0,0,0,.---,-.--,0,-.--,3,3,3,0,6,1.000,0.32,1.32,41.2,19,1,0,0,3.02,41.2,5,4,2,2,0,0,14,1.30,175,125,19,0,0,444,.640,2,0,0,0,.556,16.68,4,2.00,8.21,4.10,7.56,3.46,0.43,8,2,,
605280,Clay Holmes,51,83,12,14,4,0,1,54,16,2,34,8,.186,183,.280,.224,.504,0,1,1.000,4,787,,41,,,0,0,,6.92,1,,0,8,5,0,13,1.000,0.25,2.29,51.0,51,0,0,0,2.29,51.0,5,3,17,22,7,5,13,0.98,208,153,51,0,0,505,.640,8,0,1,0,.625,15.43,25,3.38,9.53,2.82,6.00,2.47,0.18,18,3,,
