,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
608324,Alex Bregman,126.0,107.0,166.0,81.0,34.0,0.0,20.0,66.0,73.0,1.0,120.0,7.0,451.0,1.0,1.0,16.0,539.0,214.0,207.0,0.0,8.0,0.0,0.266,0.371,0.475,0.846,78.0,0.64,0.12244897959183673,0.03710575139146568,0.22263450834879406,0.2680965147453083,0.24401910828025472,0.036291814316443675,109.00785675132471,0.6056707864777606,0.2896169155240057,0.045915005064014434,92.56935640663102,-0.4687008255513369,0.7029936305732485,0.10574827978326201,120.3424843707529,1.3523280919543312,79.5859872611465,35.373473435574184,150.78031212484993,1.1424948927466698,40.3312101910828,21.451910600173687,193.39861023373342,1.7559643292850666
676801,Chas McCormick,1.0,67.0,68.0,37.0,11.0,2.0,12.0,83.0,36.0,0.0,68.0,1.0,285.0,2.0,2.0,5.0,323.0,119.0,111.0,0.0,1.0,0.0,0.239,0.325,0.418,0.743,37.0,0.99,0.25696594427244585,0.03715170278637771,0.21052631578947367,0.2931937172774869,0.24401910828025472,0.036291814316443675,97.9431494870925,-0.13829863220645303,0.2896169155240057,0.045915005064014434,101.2350113414507,0.07790049785455601,0.7029936305732485,0.10574827978326201,105.69085802301348,0.37831697601840114,79.5859872611465,35.373473435574184,85.4421768707483,-0.32753320881106274,40.3312101910828,21.451910600173687,91.74036639292483,-0.15528734261347482
665161,Jeremy Pena,106.0,112.0,91.0,54.0,17.0,1.0,16.0,111.0,19.0,0.0,102.0,5.0,411.0,2.0,7.0,3.0,442.0,169.0,160.0,0.0,5.0,2.0,0.248,0.286,0.411,0.697,46.0,1.23,0.251131221719457,0.03619909502262444,0.23076923076923078,0.2975778546712803,0.24401910828025472,0.036291814316443675,101.63138524183657,0.10969117402161818,0.2896169155240057,0.045915005064014434,102.74878251944324,0.17338425937611215,0.7029936305732485,0.10574827978326201,99.14741324635315,-0.056678279642305936,79.5859872611465,35.373473435574184,128.16326530612244,0.633639011438224,40.3312101910828,21.451910600173687,114.05559065066329,0.26425570731547326
514888,Jose Altuve,2.0,110.0,125.0,78.0,31.0,0.0,22.0,73.0,53.0,1.0,123.0,8.0,430.0,1.0,13.0,12.0,492.0,220.0,110.0,0.0,1.0,0.0,0.286,0.374,0.512,0.886,48.0,0.88,0.1483739837398374,0.044715447154471545,0.25,0.3005952380952381,0.24401910828025472,0.036291814316443675,117.20393620631151,1.1567592447623618,0.2896169155240057,0.045915005064014434,103.79063583056578,0.23910097703194122,0.7029936305732485,0.10574827978326201,126.03243635045753,1.7305848360071199,79.5859872611465,35.373473435574184,154.54981992797119,1.2273042062980775,40.3312101910828,21.451910600173687,119.01452937460517,0.35748749618857284
663656,Kyle Tucker,3.0,99.0,150.0,57.0,24.0,1.0,22.0,77.0,51.0,2.0,114.0,0.0,438.0,2.0,19.0,7.0,493.0,206.0,195.0,0.0,2.0,2.0,0.26,0.336,0.47,0.806,84.0,0.66,0.15618661257606492,0.04462474645030426,0.23123732251521298,0.2697947214076246,0.24401910828025472,0.036291814316443675,106.54903291482867,0.44034424899237984,0.2896169155240057,0.045915005064014434,93.15571948533578,-0.4317149500200446,0.7029936305732485,0.10574827978326201,114.65253239104828,0.9740713479015435,79.5859872611465,35.373473435574184,143.24129651860744,0.9728762656438545,40.3312101910828,21.451910600173687,208.27542640555907,2.035659695904365
671277,Luis Garcia,59.0,76.0,51.0,20.0,14.0,2.0,5.0,56.0,5.0,0.0,73.0,1.0,252.0,4.0,2.0,3.0,262.0,106.0,110.0,1.0,3.0,0.0,0.29,0.303,0.421,0.724,28.0,1.49,0.21374045801526717,0.019083969465648856,0.2786259541984733,0.35051546391752575,0.24401910828025472,0.036291814316443675,118.84315209730889,1.2669769364192824,0.2896169155240057,0.045915005064014434,121.02727607720563,1.326332171990739,0.7029936305732485,0.10574827978326201,102.9881308326538,0.19864502259332648,79.5859872611465,35.373473435574184,91.72468987595039,-0.18618435289205,40.3312101910828,21.451910600173687,69.42514213518636,-0.574830392542423
455117,Martin Maldonado,95.0,73.0,71.0,31.0,12.0,0.0,12.0,100.0,20.0,0.0,51.0,6.0,290.0,11.0,31.0,4.0,321.0,99.0,147.0,3.0,2.0,0.0,0.176,0.242,0.341,0.583,37.0,1.03,0.3115264797507788,0.037383177570093455,0.1588785046728972,0.21666666666666667,0.24401910828025472,0.036291814316443675,72.12549920388402,-1.8742272758029501,0.2896169155240057,0.045915005064014434,74.81146820262563,-1.5888106460106497,0.7029936305732485,0.10574827978326201,82.93105010419497,-1.1347100001927528,79.5859872611465,35.373473435574184,64.08163265306122,-0.8081193189357061,40.3312101910828,21.451910600173687,91.74036639292483,-0.15528734261347482
669257,Will Smith,19.0,85.0,144.0,55.0,22.0,1.0,19.0,77.0,49.0,3.0,107.0,9.0,409.0,9.0,40.0,8.0,471.0,188.0,191.0,0.0,4.0,0.0,0.262,0.35,0.46,0.81,75.0,0.59,0.16348195329087048,0.040339702760084924,0.22717622080679406,0.277602523659306,0.24401910828025472,0.036291814316443675,107.36864086032736,0.4954530948208401,0.2896169155240057,0.045915005064014434,95.85162633095446,-0.2616659161411246,0.7029936305732485,0.10574827978326201,115.22152758901876,1.0118970223068224,79.5859872611465,35.373473435574184,134.44577831132452,0.7749878673572367,40.3312101910828,21.451910600173687,185.96020214782058,1.6161166459754173
670541,Yordan Alvarez,64.0,100.0,84.0,78.0,17.0,2.0,31.0,88.0,64.0,7.0,111.0,5.0,377.0,1.0,1.0,11.0,452.0,225.0,182.0,0.0,6.0,0.0,0.294,0.398,0.597,0.995,80.0,1.19,0.19469026548672566,0.06858407079646017,0.24557522123893805,0.30303030303030304,0.24401910828025472,0.036291814316443675,120.48236798830625,1.3771946280762029,0.2896169155240057,0.045915005064014434,104.63142405961628,0.29213516338714257,0.7029936305732485,0.10574827978326201,141.53755549515265,2.7613344635509685,79.5859872611465,35.373473435574184,139.4717887154862,0.8880669520924469,40.3312101910828,21.451910600173687,198.3575489576753,1.8491961181581662
493329,Yuli Gurriel,1.0,116.0,162.0,46.0,35.0,0.0,7.0,62.0,28.0,0.0,107.0,6.0,444.0,0.0,8.0,13.0,481.0,163.0,215.0,0.0,3.0,0.0,0.241,0.293,0.367,0.66,41.0,0.72,0.1288981288981289,0.014553014553014554,0.22245322245322247,0.26455026455026454,0.24401910828025472,0.036291814316443675,98.76275743259119,-0.08318978637799276,0.2896169155240057,0.045915005064014434,91.34489402029992,-0.5459359296333167,0.7029936305732485,0.10574827978326201,93.88420766512638,-0.4065657678911345,79.5859872611465,35.373473435574184,134.44577831132452,0.7749878673572367,40.3312101910828,21.451910600173687,101.6582438408086,0.031176235132724342
