,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,85,48,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,75,58,10.0,2,+2.0,-,20,136,4,4
2,Texas Rangers,3,58,74,26.5,8,14.5,17,4,140,11,11
3,Los Angeles Angels,4,58,75,27.0,9,15.0,16,3,108,12,12
4,Oakland Athletics,5,49,85,36.5,12,24.5,6,E,133,15,15
0,New York Yankees,1,79,54,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,74,57,4.0,1,+2.0,-,27,139,3,3
2,Toronto Blue Jays,3,72,59,6.0,3,-,-,25,141,5,5
3,Baltimore Orioles,4,71,61,7.5,4,1.5,30,23,110,6,6
4,Boston Red Sox,5,66,68,13.5,7,7.5,23,16,111,10,10
0,Cleveland Guardians,1,68,63,-,-,-,-,-,114,7,7
1,Minnesota Twins,2,67,64,1.0,5,5.0,27,31,142,8,8
2,Chicago White Sox,3,67,66,2.0,6,6.0,25,29,145,9,9
3,Kansas City Royals,4,54,80,15.5,10,19.5,11,15,118,13,13
4,Detroit Tigers,5,51,82,18.0,11,22.0,9,13,116,14,14
