,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,89,50,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,78,61,11.0,3,-,-,13,136,5,5
2,Los Angeles Angels,3,61,78,28.0,8,17.0,7,E,108,11,11
3,Texas Rangers,4,59,79,29.5,9,18.5,6,E,140,12,12
4,Oakland Athletics,5,50,90,39.5,12,28.5,E,E,133,15,15
0,New York Yankees,1,84,56,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,78,59,4.5,1,+1.0,-,20,139,3,3
2,Toronto Blue Jays,3,78,60,5.0,2,+0.5,-,19,141,4,4
3,Baltimore Orioles,4,73,66,10.5,4,5.0,19,13,110,7,7
4,Boston Red Sox,5,68,72,16.0,7,10.5,13,7,111,10,10
0,Cleveland Guardians,1,72,65,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,72,68,1.5,5,6.5,17,23,145,8,8
2,Minnesota Twins,3,69,69,3.5,6,8.5,16,22,142,9,9
3,Kansas City Royals,4,56,84,17.5,10,22.5,1,7,118,13,13
4,Detroit Tigers,5,54,85,19.0,11,24.0,E,6,116,14,14
