,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
624414,Christian Arroyo,4,62,51,27,12,1,5,36,11,1,59,3,206,1,5,6,222.0,88,90.0,1,1,0,0.286,0.33,0.427,0.757,22.0,1.22,0.16216216216216217,0.02252252252252252,0.3253012048192771,115.99493029150824,105.9410078235094
571771,Enrique Hernandez,58,55,93,31,17,0,6,52,20,0,55,2,251,1,0,7,277.0,90,104.0,0,4,0,0.219,0.278,0.359,0.637,34.0,0.59,0.18772563176895307,0.021660649819494584,0.24873096446700507,88.82129277566541,89.14718888186987
614173,Franchy Cordero,3,45,51,35,17,1,7,83,26,1,51,1,226,1,4,1,257.0,91,97.0,2,2,0,0.226,0.306,0.403,0.709,28.0,0.88,0.3229571984435798,0.027237354085603113,0.3188405797101449,91.66032953105197,99.22348024685358
502110,J.D. Martinez,109,87,108,59,36,0,9,116,41,1,116,5,422,0,0,15,473.0,179,204.0,0,5,0,0.275,0.342,0.424,0.766,48.0,0.81,0.2452431289640592,0.019027484143763214,0.3543046357615894,111.53358681875795,107.20054424413237
646240,Rafael Devers,3,113,110,69,33,1,25,85,33,9,130,6,437,1,2,9,477.0,240,157.0,0,1,0,0.297,0.354,0.549,0.903,65.0,1.03,0.17819706498951782,0.05241090146750524,0.3201219512195122,120.45627376425855,126.3734875358375
608701,Rob Refsnyder,6,23,24,19,8,0,4,31,12,0,34,3,110,1,0,1,127.0,54,35.0,0,2,0,0.309,0.386,0.491,0.877,14.0,0.96,0.2440944881889764,0.031496062992125984,0.38961038961038963,125.32319391634982,122.73482676514892
502054,Tommy Pham,8,80,83,57,11,1,11,100,42,0,81,1,340,2,7,13,387.0,127,139.0,0,4,0,0.238,0.32,0.374,0.694,39.0,0.96,0.25839793281653745,0.028423772609819122,0.30042918454935624,96.52724968314324,97.12425287914864
596115,Trevor Story,82,51,88,50,17,0,15,106,28,4,69,3,310,0,10,7,345.0,131,164.0,0,4,0,0.223,0.29,0.423,0.713,58.0,0.58,0.3072463768115942,0.043478260869565216,0.27979274611398963,90.44359949302917,99.7832742115749
593428,Xander Bogaerts,3,105,113,69,32,0,11,99,45,2,133,8,445,1,7,10,503.0,198,197.0,0,5,0,0.299,0.37,0.445,0.815,53.0,0.93,0.19681908548707752,0.02186878727634195,0.3588235294117647,121.26742712294045,114.0580203119685
642708,Amed Rosario,3,154,117,70,22,7,8,81,23,0,140,3,490,3,12,15,518.0,200,196.0,0,2,0,0.286,0.32,0.408,0.728,51.0,1.32,0.15637065637065636,0.015444015444015444,0.32754342431761785,115.99493029150824,101.88250157927985
