,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,101,53,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,83,69,17.0,3,-,-,E,136,6,6
2,Los Angeles Angels,3,67,86,33.5,8,16.5,E,E,108,11,11
3,Texas Rangers,4,65,87,35.0,9,18.0,E,E,140,12,12
4,Oakland Athletics,5,56,97,44.5,12,27.5,E,E,133,15,15
0,New York Yankees,1,94,59,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,87,67,7.5,1,+3.0,-,2,141,3,3
2,Tampa Bay Rays,3,84,69,10.0,2,+0.5,-,E,139,5,5
3,Baltimore Orioles,4,80,73,14.0,4,3.5,7,E,110,7,7
4,Boston Red Sox,5,72,81,22.0,7,11.5,E,E,111,10,10
0,Cleveland Guardians,1,86,67,-,-,-,-,-,114,4,4
1,Chicago White Sox,2,76,77,10.0,5,7.5,3,E,145,8,8
2,Minnesota Twins,3,74,79,12.0,6,9.5,1,E,142,9,9
3,Kansas City Royals,4,63,90,23.0,10,20.5,E,E,118,13,13
4,Detroit Tigers,5,60,92,25.5,11,23.0,E,E,116,14,14
