,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
605131,Austin Barnes,4.0,48.0,38.0,27.0,5.0,0.0,7.0,27.0,21.0,0.0,32.0,3.0,144.0,6.0,15.0,5.0,169.0,58.0,73.0,0.0,1.0,0.0,0.222,0.331,0.403,0.734,23.0,1.26,0.15976331360946747,0.04142011834319527,0.1893491124260355,0.22522522522522523,0.2453529411764706,0.03603570425875077,90.48189882522176,-0.6480500841273183,0.2952354113263433,0.04091798798335896,76.28665687947198,-1.7109879921170776,0.7122941176470587,0.09927950193591809,103.04732017507641,0.2186340778275835,78.00653594771242,38.09069798244471,41.02220360284876,-1.2078155136174185,39.66013071895425,23.523270504884263,57.99274884640738,-0.7082404088111395
621035,Chris Taylor,3.0,46.0,80.0,39.0,23.0,3.0,8.0,139.0,40.0,2.0,73.0,4.0,335.0,1.0,9.0,4.0,382.0,126.0,174.0,0.0,3.0,0.0,0.218,0.306,0.376,0.682,34.0,0.58,0.36387434554973824,0.020942408376963352,0.19109947643979058,0.3403141361256545,0.2453529411764706,0.03603570425875077,88.85159434188444,-0.7590511060937105,0.2952354113263433,0.04091798798335896,115.26873913830163,1.1016847851278604,0.7122941176470587,0.09927950193591809,95.74696506730533,-0.30513970211708585,78.00653594771242,38.09069798244471,93.58190196899874,-0.1314372330488625,39.66013071895425,23.523270504884263,85.72841133816743,-0.24061835779931223
641355,Cody Bellinger,121.0,88.0,132.0,60.0,22.0,3.0,17.0,130.0,36.0,0.0,86.0,2.0,432.0,2.0,12.0,7.0,474.0,165.0,215.0,0.0,4.0,0.0,0.199,0.262,0.382,0.644,55.0,0.67,0.2742616033755274,0.035864978902953586,0.18143459915611815,0.23875432525951557,0.2453529411764706,0.03603570425875077,81.10764804603212,-1.286305960434072,0.2952354113263433,0.04091798798335896,80.86913564565755,-1.3803485667427773,0.7122941176470587,0.09927950193591809,90.41209018085723,-0.6878974643843451,78.00653594771242,38.09069798244471,110.24717218265604,0.20985344127775282,39.66013071895425,23.523270504884263,138.67831245880026,0.6521146486778125
518692,Freddie Freeman,136.0,122.0,154.0,100.0,44.0,2.0,17.0,89.0,64.0,7.0,172.0,5.0,531.0,2.0,11.0,5.0,606.0,271.0,182.0,0.0,6.0,0.0,0.324,0.398,0.51,0.908,84.0,0.79,0.14686468646864687,0.028052805280528052,0.2838283828382838,0.35962877030162416,0.2453529411764706,0.03603570425875077,132.05466315032365,2.1824759760156778,0.2952354113263433,0.04091798798335896,121.8108521216998,1.5737176275986289,0.7122941176470587,0.09927950193591809,127.47543149723349,1.9712617261039798,78.00653594771242,38.09069798244471,220.4943443653121,2.467622517592285,39.66013071895425,23.523270504884263,211.7996044825313,1.8849364195271752
666158,Gavin Lux,28.0,105.0,80.0,62.0,18.0,7.0,6.0,79.0,46.0,0.0,108.0,0.0,369.0,2.0,7.0,3.0,418.0,158.0,173.0,0.0,3.0,0.0,0.293,0.368,0.428,0.796,42.0,1.31,0.18899521531100477,0.014354066985645933,0.2583732057416268,0.3554006968641115,0.2453529411764706,0.03603570425875077,119.41980340445934,1.322218055776139,0.2952354113263433,0.04091798798335896,120.3787497128058,1.4703871940682178,0.7122941176470587,0.09927950193591809,111.75158972664963,0.8431335846846906,78.00653594771242,38.09069798244471,138.4499371596146,0.7874222747535633,39.66013071895425,23.523270504884263,105.89980224126565,0.09947040657292577
593643,Hanser Alberto,5.0,45.0,35.0,12.0,8.0,2.0,2.0,23.0,2.0,0.0,32.0,0.0,135.0,1.0,0.0,4.0,137.0,50.0,72.0,0.0,0.0,0.0,0.237,0.248,0.37,0.618,14.0,1.29,0.1678832116788321,0.014598540145985401,0.23357664233576642,0.2727272727272727,0.2453529411764706,0.03603570425875077,96.59554063773675,-0.23179625175334884,0.2952354113263433,0.04091798798335896,92.37620633041514,-0.5500793100634487,0.7122941176470587,0.09927950193591809,86.76191262697168,-0.9497843543566803,78.00653594771242,38.09069798244471,41.02220360284876,-1.2078155136174185,39.66013071895425,23.523270504884263,35.299934080421885,-1.0908402687299072
608336,Joey Gallo,1.0,29.0,61.0,32.0,4.0,1.0,12.0,106.0,40.0,0.0,37.0,0.0,233.0,0.0,2.0,0.0,273.0,79.0,122.0,0.0,0.0,0.0,0.159,0.282,0.339,0.621,24.0,0.48,0.3882783882783883,0.04395604395604396,0.13553113553113552,0.21739130434782608,0.2453529411764706,0.03603570425875077,64.80460321265883,-2.396316180097992,0.2952354113263433,0.04091798798335896,73.63320794453381,-1.9024421975532089,0.7122941176470587,0.09927950193591809,87.18308696011232,-0.9195666362829493,78.00653594771242,38.09069798244471,47.43192291579388,-1.0765498696456433,39.66013071895425,23.523270504884263,60.514172709294655,-0.6657293132646097
457759,Justin Turner,50.0,83.0,139.0,54.0,32.0,0.0,11.0,74.0,44.0,1.0,112.0,5.0,400.0,0.0,3.0,12.0,457.0,177.0,169.0,0.0,8.0,0.0,0.28,0.352,0.443,0.795,73.0,0.60,0.16192560175054704,0.024070021881838075,0.24507658643326038,0.3126934984520124,0.2453529411764706,0.03603570425875077,114.12131383361303,0.9614647343853662,0.2952354113263433,0.04091798798335896,105.91327681433565,0.4266604490125265,0.7122941176470587,0.09927950193591809,111.6111982822694,0.833061011993447,78.00653594771242,38.09069798244471,143.5777126099707,0.8924347899309835,39.66013071895425,23.523270504884263,184.06394199077124,1.417314368515348
571970,Max Muncy,22.0,74.0,124.0,60.0,17.0,1.0,19.0,122.0,74.0,1.0,77.0,2.0,391.0,0.0,2.0,2.0,473.0,153.0,183.0,0.0,6.0,0.0,0.197,0.323,0.391,0.714,57.0,0.60,0.25792811839323465,0.040169133192389,0.16279069767441862,0.2265625,0.2453529411764706,0.03603570425875077,80.29249580436345,-1.3418064714172682,0.2952354113263433,0.04091798798335896,76.73960890469384,-1.6783061609547383,0.7122941176470587,0.09927950193591809,100.23949128747213,0.01718262400271024,78.00653594771242,38.09069798244471,98.70967741935483,-0.026424717871442405,39.66013071895425,23.523270504884263,143.7211601845748,0.7371368397708721
605141,Mookie Betts,115.0,109.0,157.0,105.0,32.0,3.0,33.0,86.0,47.0,0.0,135.0,6.0,483.0,1.0,12.0,8.0,540.0,272.0,170.0,0.0,4.0,0.0,0.28,0.348,0.563,0.911,74.0,0.69,0.15925925925925927,0.06111111111111111,0.25,0.27717391304347827,0.2453529411764706,0.03603570425875077,114.12131383361303,0.9614647343853662,0.2952354113263433,0.04091798798335896,93.88234012928062,-0.4414072923187351,0.7122941176470587,0.09927950193591809,127.89660583037413,2.001479444177711,78.00653594771242,38.09069798244471,173.0624214495182,1.496256752201149,39.66013071895425,23.523270504884263,186.58536585365852,1.4598254640618777
607208,Trea Turner,135.0,139.0,144.0,85.0,35.0,2.0,19.0,107.0,37.0,1.0,168.0,3.0,552.0,3.0,23.0,9.0,600.0,264.0,230.0,0.0,6.0,2.0,0.304,0.348,0.478,0.826,91.0,0.97,0.17833333333333334,0.03166666666666667,0.28,0.3449074074074074,0.2453529411764706,0.03603570425875077,123.903140733637,1.6274708661837172,0.2952354113263433,0.04091798798335896,116.82453871570249,1.2139403360024772,0.7122941176470587,0.09927950193591809,115.963333058056,1.1453107654219994,78.00653594771242,38.09069798244471,215.366568914956,2.362610002414865,39.66013071895425,23.523270504884263,229.44957152274225,2.1825140883528835
669257,Will Smith,20.0,86.0,151.0,58.0,23.0,1.0,21.0,78.0,51.0,3.0,110.0,9.0,421.0,9.0,40.0,8.0,485.0,198.0,196.0,0.0,4.0,0.0,0.261,0.351,0.47,0.821,80.0,0.57,0.16082474226804125,0.04329896907216495,0.2268041237113402,0.27300613496932513,0.2453529411764706,0.03603570425875077,106.37736753776072,0.4342098800450037,0.2952354113263433,0.04091798798335896,92.470660529117,-0.5432641596663706,0.7122941176470587,0.09927950193591809,115.26137583615493,1.094947901965781,78.00653594771242,38.09069798244471,141.01382488479263,0.8399285323422734,39.66013071895425,23.523270504884263,201.71390903098222,1.7148920373410563
543592,Austin Nola,6.0,77.0,102.0,34.0,11.0,0.0,3.0,54.0,32.0,1.0,73.0,5.0,298.0,7.0,53.0,4.0,343.0,93.0,130.0,0.0,8.0,2.0,0.245,0.321,0.312,0.633,34.0,0.75,0.15743440233236153,0.008746355685131196,0.21282798833819241,0.28112449799196787,0.2453529411764706,0.03603570425875077,99.8561496044114,-0.009794207820564643,0.2952354113263433,0.04091798798335896,95.22045364714813,-0.3448584358574577,0.7122941176470587,0.09927950193591809,88.86778429267488,-0.7986957639880253,78.00653594771242,38.09069798244471,93.58190196899874,-0.1314372330488625,39.66013071895425,23.523270504884263,85.72841133816743,-0.24061835779931223
673490,Ha-Seong Kim,108.0,111.0,129.0,49.0,25.0,3.0,8.0,86.0,43.0,0.0,111.0,6.0,433.0,2.0,9.0,8.0,486.0,166.0,178.0,1.0,3.0,0.0,0.256,0.33,0.383,0.713,51.0,0.86,0.17695473251028807,0.01646090534979424,0.22839506172839505,0.30116959064327486,0.2453529411764706,0.03603570425875077,104.33948693358906,0.2954586025870136,0.2952354113263433,0.04091798798335896,102.00998223426936,0.1450261757578345,0.7122941176470587,0.09927950193591809,100.09909984309193,0.007110051311466576,78.00653594771242,38.09069798244471,142.29576874738163,0.8661816611366284,39.66013071895425,23.523270504884263,128.59261700725116,0.48207026649169354
630105,Jake Cronenworth,2.0,101.0,173.0,79.0,26.0,3.0,15.0,111.0,62.0,3.0,122.0,16.0,501.0,0.0,2.0,1.0,588.0,199.0,189.0,0.0,6.0,3.0,0.244,0.342,0.397,0.739,71.0,0.58,0.18877551020408162,0.025510204081632654,0.20748299319727892,0.28083989501312334,0.2453529411764706,0.03603570425875077,99.44857348357708,-0.037544463312162664,0.2952354113263433,0.04091798798335896,95.12405498766283,-0.35181388486341253,0.7122941176470587,0.09927950193591809,103.74927739697746,0.2689969412838018,78.00653594771242,38.09069798244471,156.39715123586092,1.1549660778745336,39.66013071895425,23.523270504884263,179.0210942649967,1.3322921774222884
595751,Jorge Alfaro,10.0,49.0,43.0,25.0,13.0,0.0,7.0,92.0,10.0,0.0,61.0,3.0,242.0,5.0,22.0,5.0,258.0,95.0,116.0,0.0,3.0,0.0,0.252,0.287,0.393,0.68,38.0,1.14,0.35658914728682173,0.027131782945736434,0.2364341085271318,0.3698630136986301,0.2453529411764706,0.03603570425875077,102.70918245025173,0.1844575806206215,0.2952354113263433,0.04091798798335896,125.27732091385066,1.8238336255105534,0.7122941176470587,0.09927950193591809,95.4661821785449,-0.3252848474995732,78.00653594771242,38.09069798244471,78.19857561793046,-0.4464747785811228,39.66013071895425,23.523270504884263,95.81410678971655,-0.07057397561319323
640492,Jose Azocar,3.0,43.0,38.0,17.0,6.0,3.0,0.0,34.0,12.0,0.0,39.0,0.0,152.0,5.0,4.0,4.0,166.0,51.0,77.0,1.0,1.0,0.0,0.257,0.309,0.336,0.645,8.0,1.13,0.20481927710843373,0.0,0.23493975903614459,0.3277310924369748,0.2453529411764706,0.03603570425875077,104.74706305442338,0.32320885807861166,0.2952354113263433,0.04091798798335896,111.00670172478459,0.7941661531316557,0.7122941176470587,0.09927950193591809,90.55248162523743,-0.6778248916931015,78.00653594771242,38.09069798244471,49.995810640971925,-1.0240436120569334,39.66013071895425,23.523270504884263,20.171390903098217,-1.3459068420090858
605137,Josh Bell,16.0,40.0,25.0,20.0,4.0,0.0,3.0,27.0,22.0,0.0,22.0,0.0,114.0,0.0,0.0,0.0,137.0,35.0,60.0,0.0,0.0,1.0,0.193,0.324,0.307,0.631,11.0,1.60,0.19708029197080293,0.021897810218978103,0.16058394160583941,0.2261904761904762,0.2453529411764706,0.03603570425875077,78.66219132102613,-1.4528074933836603,0.2952354113263433,0.04091798798335896,76.61359969466972,-1.6873980989472688,0.7122941176470587,0.09927950193591809,88.58700140391446,-0.8188409093705127,78.00653594771242,38.09069798244471,28.202764976958523,-1.4703468015609686,39.66013071895425,23.523270504884263,27.73566249176005,-1.2183735553694965
665742,Juan Soto,1.0,28.0,32.0,20.0,3.0,1.0,3.0,16.0,26.0,0.0,23.0,1.0,99.0,0.0,0.0,1.0,127.0,37.0,43.0,0.0,0.0,1.0,0.232,0.397,0.374,0.771,6.0,0.88,0.12598425196850394,0.023622047244094488,0.18110236220472442,0.25,0.2453529411764706,0.03603570425875077,94.5576600335651,-0.37054752921133816,0.2952354113263433,0.04091798798335896,84.67818913621389,-1.105514067425314,0.7122941176470587,0.09927950193591809,108.24180361714428,0.5913192674035991,78.00653594771242,38.09069798244471,29.484708839547547,-1.4440936727666136,39.66013071895425,23.523270504884263,15.128543177323664,-1.4309290331021451
595777,Jurickson Profar,6.0,139.0,147.0,73.0,32.0,2.0,14.0,87.0,69.0,0.0,119.0,4.0,488.0,1.0,5.0,11.0,565.0,197.0,188.0,2.0,2.0,0.0,0.244,0.341,0.404,0.745,55.0,0.95,0.15398230088495576,0.024778761061946902,0.21061946902654868,0.2699228791773779,0.2453529411764706,0.03603570425875077,99.44857348357708,-0.037544463312162664,0.2952354113263433,0.04091798798335896,91.42632246069365,-0.618616246704501,0.7122941176470587,0.09927950193591809,104.59162606325873,0.3294323774312638,78.00653594771242,38.09069798244471,152.55131964809382,1.0762066914914685,39.66013071895425,23.523270504884263,138.67831245880026,0.6521146486778125
671277,Luis Garcia,59.0,86.0,54.0,23.0,17.0,2.0,6.0,64.0,5.0,0.0,82.0,1.0,282.0,4.0,2.0,4.0,292.0,121.0,128.0,1.0,3.0,0.0,0.291,0.302,0.429,0.731,33.0,1.59,0.2191780821917808,0.02054794520547945,0.2808219178082192,0.35348837209302325,0.2453529411764706,0.03603570425875077,118.60465116279069,1.2667175447929429,0.2952354113263433,0.04091798798335896,119.73102091818149,1.4236516416782519,0.7122941176470587,0.09927950193591809,102.62614584193577,0.1884163597538525,78.00653594771242,38.09069798244471,105.11939673229995,0.10484092610033272,39.66013071895425,23.523270504884263,83.20698747528016,-0.283129453345842
592518,Manny Machado,13.0,106.0,131.0,85.0,34.0,1.0,26.0,110.0,52.0,8.0,146.0,1.0,491.0,1.0,7.0,11.0,546.0,260.0,215.0,0.0,2.0,0.0,0.297,0.364,0.53,0.894,88.0,0.81,0.20146520146520147,0.047619047619047616,0.2673992673992674,0.33613445378151263,0.2453529411764706,0.03603570425875077,121.05010788779668,1.433219077742531,0.2952354113263433,0.04091798798335896,113.8530274100355,0.9995369877864639,0.7122941176470587,0.09927950193591809,125.5099512759105,1.8302457084265684,78.00653594771242,38.09069798244471,187.16380393799747,1.7850411689390542,39.66013071895425,23.523270504884263,221.8852999340804,2.0549808017132944
663757,Trent Grisham,131.0,108.0,106.0,54.0,15.0,2.0,16.0,127.0,57.0,1.0,78.0,6.0,410.0,0.0,6.0,3.0,482.0,145.0,179.0,7.0,2.0,0.0,0.19,0.297,0.354,0.651,49.0,1.02,0.26348547717842324,0.03319502074688797,0.16182572614107885,0.23048327137546468,0.2453529411764706,0.03603570425875077,77.43946295852314,-1.5360582598584545,0.2952354113263433,0.04091798798335896,78.06762418505964,-1.5824859222602252,0.7122941176470587,0.09927950193591809,91.39483029151872,-0.6173894555456394,78.00653594771242,38.09069798244471,99.99162128194385,-0.00017158907708738038,39.66013071895425,23.523270504884263,123.54976928147659,0.397048075398634
571976,Wil Myers,36.0,39.0,52.0,22.0,11.0,0.0,4.0,67.0,14.0,1.0,51.0,1.0,206.0,1.0,0.0,6.0,224.0,74.0,114.0,0.0,3.0,0.0,0.248,0.295,0.359,0.654,30.0,0.75,0.29910714285714285,0.017857142857142856,0.22767857142857142,0.34057971014492755,0.2453529411764706,0.03603570425875077,101.07887796691439,0.07345655865422943,0.2952354113263433,0.04091798798335896,115.35869244643631,1.1081751829299489,0.7122941176470587,0.09927950193591809,91.81600462465936,-0.5871717374719084,78.00653594771242,38.09069798244471,65.37913699204022,-0.709006066524673,39.66013071895425,23.523270504884263,75.64271588661833,-0.41066273998543124
677950,Alek Thomas,102.0,122.0,75.0,42.0,17.0,1.0,8.0,68.0,22.0,0.0,86.0,3.0,346.0,3.0,4.0,6.0,376.0,129.0,141.0,0.0,5.0,0.0,0.249,0.295,0.373,0.668,38.0,1.63,0.18085106382978725,0.02127659574468085,0.22872340425531915,0.28363636363636363,0.2453529411764706,0.03603570425875077,101.48645408774873,0.10120681414582745,0.2952354113263433,0.04091798798335896,96.07125458363174,-0.28347062652975274,0.7122941176470587,0.09927950193591809,93.78148484598235,-0.44615571979449714,78.00653594771242,38.09069798244471,110.24717218265604,0.20985344127775282,39.66013071895425,23.523270504884263,95.81410678971655,-0.07057397561319323
608348,Carson Kelly,2.0,65.0,78.0,32.0,14.0,0.0,6.0,53.0,25.0,0.0,55.0,4.0,249.0,9.0,38.0,5.0,280.0,87.0,124.0,0.0,2.0,0.0,0.221,0.3,0.349,0.649,32.0,0.83,0.18928571428571428,0.02142857142857143,0.19642857142857142,0.2552083333333333,0.2453529411764706,0.03603570425875077,90.07432270438743,-0.6758003396189164,0.2952354113263433,0.04091798798335896,86.44231807655167,-0.9782269355298869,0.7122941176470587,0.09927950193591809,91.11404740275829,-0.6375346009281267,78.00653594771242,38.09069798244471,70.50691244239631,-0.603993551347253,39.66013071895425,23.523270504884263,80.68556361239287,-0.3256405488923717
