,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,101,44,-,-,-,-,-,119,1,1
1,San Diego Padres,2,81,66,21.0,2,+0.5,-,E,135,5,5
2,San Francisco Giants,3,70,77,32.0,5,10.5,6,E,137,8,8
3,Arizona Diamondbacks,4,68,78,33.5,6,12.0,5,E,109,9,9
4,Colorado Rockies,5,64,83,38.0,7,16.5,E,E,115,10,10
0,New York Mets,1,94,55,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,92,55,1.0,1,+11.5,-,14,144,3,3
2,Philadelphia Phillies,3,80,66,12.5,3,-,-,3,143,6,6
3,Miami Marlins,4,61,87,32.5,9,20.0,E,E,146,12,12
4,Washington Nationals,5,51,96,42.0,12,29.5,E,E,120,15,15
0,St. Louis Cardinals,1,87,61,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,78,69,8.5,4,2.5,14,7,158,7,7
2,Chicago Cubs,3,62,85,24.5,8,18.5,E,E,112,11,11
3,Cincinnati Reds,4,58,89,28.5,10,22.5,E,E,113,13,13
4,Pittsburgh Pirates,5,55,92,31.5,11,25.5,E,E,134,14,14
