,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,100,53,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,83,68,16.0,3,-,-,E,136,6,6
2,Los Angeles Angels,3,66,86,33.5,8,17.5,E,E,108,11,11
3,Texas Rangers,4,65,86,34.0,9,18.0,E,E,140,12,12
4,Oakland Athletics,5,56,96,43.5,12,27.5,E,E,133,15,15
0,New York Yankees,1,93,58,-,-,-,-,-,147,2,2
1,Toronto Blue Jays,2,85,67,8.5,1,+1.5,-,3,141,4,4
2,Tampa Bay Rays,3,84,68,9.5,2,+0.5,-,2,139,5,5
3,Baltimore Orioles,4,79,72,14.0,4,4.0,8,E,110,7,7
4,Boston Red Sox,5,72,79,21.0,7,11.0,1,E,111,10,10
0,Cleveland Guardians,1,85,67,-,-,-,-,-,114,3,3
1,Chicago White Sox,2,76,76,9.0,5,7.5,4,2,145,8,8
2,Minnesota Twins,3,74,78,11.0,6,9.5,2,E,142,9,9
3,Kansas City Royals,4,62,90,23.0,10,21.5,E,E,118,13,13
4,Detroit Tigers,5,59,92,25.5,11,24.0,E,E,116,14,14
