,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,hitsperplateAppearance,rbiperplateAppearance,babip,avg_mean,avg_std,normalized_avg,avg_z_score,babip_mean,babip_std,normalized_babip,babip_z_score,ops_mean,ops_std,normalized_ops,ops_z_score,hits_mean,hits_std,normalized_hits,hits_z_score,rbi_mean,rbi_std,normalized_rbi,rbi_z_score
605131,Austin Barnes,4.0,48.0,39.0,28.0,6.0,0.0,7.0,29.0,21.0,0.0,33.0,3.0,148.0,7.0,15.0,5.0,173.0,60.0,73.0,0.0,1.0,0.0,0.223,0.329,0.405,0.734,23.0,1.23,0.1676300578034682,0.04046242774566474,0.1907514450867052,0.1329479768786127,0.23008849557522124,0.24486335403726708,0.034484144344613284,91.07120209015042,-0.6340117886869454,0.29410776537452055,0.03993361395671118,78.2327169370124,-1.6031424020049236,0.7179813664596273,0.09550454649188758,102.23106535749818,0.1677263976300161,78.67080745341615,38.23002360670137,41.94694457603032,-1.1946319448625837,40.745341614906835,23.758493087500728,56.448170731707314,-0.7469051824773603
621035,Chris Taylor,3.0,46.0,84.0,39.0,23.0,3.0,8.0,140.0,40.0,2.0,76.0,4.0,343.0,1.0,9.0,4.0,390.0,129.0,175.0,0.0,3.0,0.0,0.222,0.308,0.376,0.684,35.0,0.55,0.358974358974359,0.020512820512820513,0.19487179487179487,0.08974358974358974,0.3434343434343434,0.24486335403726708,0.034484144344613284,90.66281104938741,-0.6630106233399563,0.29410776537452055,0.03993361395671118,116.77160002797267,1.2352144765383333,0.7179813664596273,0.09550454649188758,95.26709632769584,-0.35580888772152547,78.67080745341615,38.23002360670137,96.60508447813044,-0.06986151724342586,40.745341614906835,23.758493087500728,85.89939024390243,-0.2418226439592434
641355,Cody Bellinger,122.0,89.0,133.0,61.0,22.0,3.0,17.0,132.0,36.0,0.0,86.0,2.0,436.0,2.0,12.0,7.0,478.0,165.0,216.0,0.0,4.0,0.0,0.197,0.259,0.378,0.637,55.0,0.67,0.27615062761506276,0.03556485355648536,0.1799163179916318,0.11506276150627615,0.23711340206185566,0.24486335403726708,0.034484144344613284,80.45303503031226,-1.3879814896652274,0.29410776537452055,0.03993361395671118,80.62126539226615,-1.4272277829511721,0.7179813664596273,0.09550454649188758,88.72096543968165,-0.8479320559519756,78.67080745341615,38.23002360670137,109.31627980420022,0.19171300080754108,40.745341614906835,23.758493087500728,134.984756097561,0.5999815869042847
518692,Freddie Freeman,138.0,122.0,158.0,102.0,45.0,2.0,19.0,89.0,64.0,7.0,178.0,5.0,540.0,2.0,11.0,5.0,616.0,284.0,184.0,0.0,7.0,0.0,0.33,0.401,0.526,0.927,90.0,0.77,0.1444805194805195,0.030844155844155844,0.288961038961039,0.1461038961038961,0.3621867881548975,0.24486335403726708,0.034484144344613284,134.7690434517921,2.4688635191852164,0.29410776537452055,0.03993361395671118,123.14764545359225,1.7048049508911456,0.7179813664596273,0.09550454649188758,129.11198581253515,2.18857259908697,78.67080745341615,38.23002360670137,226.25927680404234,2.598198566876437,40.745341614906835,23.758493087500728,220.88414634146338,2.0731389909154587
666158,Gavin Lux,28.0,105.0,80.0,62.0,18.0,7.0,6.0,79.0,46.0,0.0,108.0,0.0,369.0,2.0,7.0,3.0,418.0,158.0,173.0,0.0,3.0,0.0,0.293,0.368,0.428,0.796,42.0,1.31,0.18899521531100477,0.014354066985645933,0.2583732057416268,0.10047846889952153,0.3554006968641115,0.24486335403726708,0.034484144344613284,119.65857494356085,1.3959066370238138,0.29410776537452055,0.03993361395671118,120.84029689305883,1.5348706369534626,0.7179813664596273,0.09550454649188758,110.86638695445305,0.816910151465929,78.67080745341615,38.23002360670137,137.28090952155375,0.7671769405196683,40.745341614906835,23.758493087500728,103.07926829268293,0.05280883684299142
593643,Hanser Alberto,5.0,48.0,35.0,12.0,8.0,2.0,2.0,24.0,2.0,0.0,32.0,0.0,139.0,1.0,0.0,6.0,141.0,50.0,75.0,0.0,0.0,0.0,0.23,0.241,0.36,0.601,14.0,1.37,0.1702127659574468,0.014184397163120567,0.22695035460992907,0.09929078014184398,0.26548672566371684,0.24486335403726708,0.034484144344613284,93.92993937549147,-0.4310199461158692,0.29410776537452055,0.03993361395671118,90.26851954270663,-0.7167154904093949,0.7179813664596273,0.09550454649188758,83.70690773822396,-1.2248774614050864,78.67080745341615,38.23002360670137,40.675825043423345,-1.2207893966676804,40.745341614906835,23.758493087500728,34.359756097560975,-1.125717086365948
608336,Joey Gallo,1.0,29.0,61.0,32.0,4.0,1.0,12.0,106.0,40.0,0.0,37.0,0.0,233.0,0.0,2.0,0.0,273.0,79.0,122.0,0.0,0.0,0.0,0.159,0.282,0.339,0.621,24.0,0.48,0.3882783882783883,0.04395604395604396,0.13553113553113552,0.08791208791208792,0.21739130434782608,0.24486335403726708,0.034484144344613284,64.93417548131801,-2.4899372064796403,0.29410776537452055,0.03993361395671118,73.91552687192643,-1.9210998811641893,0.7179813664596273,0.09550454649188758,86.4924953501449,-1.0154633472644694,78.67080745341615,38.23002360670137,47.03142270645824,-1.0900021376421969,40.745341614906835,23.758493087500728,58.90243902439024,-0.7048149709341839
457759,Justin Turner,50.0,85.0,142.0,54.0,32.0,0.0,11.0,77.0,45.0,1.0,112.0,5.0,408.0,0.0,3.0,12.0,466.0,177.0,176.0,0.0,8.0,0.0,0.275,0.348,0.434,0.782,73.0,0.60,0.16523605150214593,0.023605150214592276,0.24034334763948498,0.15665236051502146,0.3079268292682927,0.24486335403726708,0.034484144344613284,112.30753620982676,0.8739276132696197,0.29410776537452055,0.03993361395671118,104.69863958749093,0.3460509211300602,0.7179813664596273,0.09550454649188758,108.9164756261084,0.6703202715674971,78.67080745341615,38.23002360670137,142.3653876519817,0.8718067477400551,40.745341614906835,23.758493087500728,179.16158536585365,1.35760539468146
571970,Max Muncy,22.0,74.0,124.0,60.0,17.0,1.0,19.0,122.0,74.0,1.0,77.0,2.0,391.0,0.0,2.0,2.0,473.0,153.0,183.0,0.0,6.0,0.0,0.197,0.323,0.391,0.714,57.0,0.60,0.25792811839323465,0.040169133192389,0.16279069767441862,0.12050739957716702,0.2265625,0.24486335403726708,0.034484144344613284,80.45303503031226,-1.3879814896652274,0.29410776537452055,0.03993361395671118,77.03383816183583,-1.6914388326521346,0.7179813664596273,0.09550454649188758,99.44547774557722,-0.041687716510601,78.67080745341615,38.23002360670137,97.87620401073741,-0.043704065438329165,40.745341614906835,23.758493087500728,139.89329268292684,0.6841620099906375
605141,Mookie Betts,117.0,110.0,160.0,107.0,32.0,3.0,33.0,88.0,50.0,0.0,135.0,7.0,489.0,1.0,12.0,8.0,550.0,272.0,171.0,0.0,4.0,0.0,0.276,0.349,0.556,0.905,74.0,0.69,0.16,0.06,0.24545454545454545,0.13454545454545455,0.27419354838709675,0.24486335403726708,0.034484144344613284,112.71592725058977,0.9029264479226305,0.29410776537452055,0.03993361395671118,93.22893873201043,-0.4986830645733991,0.7179813664596273,0.09550454649188758,126.04783943942212,1.958217073532291,78.67080745341615,38.23002360670137,171.6011369019422,1.473428139257279,40.745341614906835,23.758493087500728,181.6158536585366,1.3996956062246364
607208,Trea Turner,137.0,140.0,145.0,88.0,36.0,3.0,19.0,110.0,39.0,1.0,171.0,3.0,560.0,3.0,24.0,9.0,610.0,270.0,233.0,0.0,6.0,2.0,0.305,0.35,0.482,0.832,94.0,0.97,0.18032786885245902,0.03114754098360656,0.28032786885245903,0.1540983606557377,0.34782608695652173,0.24486335403726708,0.034484144344613284,124.55926743271695,1.7438926528599445,0.29410776537452055,0.03993361395671118,118.26484299508229,1.3451905865628113,0.7179813664596273,0.09550454649188758,115.88044465591072,1.1938555569190388,78.67080745341615,38.23002360670137,217.36144007579347,2.41509640424076,40.745341614906835,23.758493087500728,230.70121951219508,2.2414998370881647
669257,Will Smith,21.0,87.0,155.0,59.0,24.0,1.0,21.0,79.0,51.0,3.0,113.0,9.0,430.0,9.0,41.0,8.0,494.0,202.0,202.0,0.0,4.0,0.0,0.263,0.35,0.47,0.82,81.0,0.56,0.15991902834008098,0.04251012145748988,0.22874493927125505,0.16396761133603238,0.2754491017964072,0.24486335403726708,0.034484144344613284,107.40684372067068,0.525941597433489,0.29410776537452055,0.03993361395671118,93.65584123412954,-0.4672420482238274,0.7179813664596273,0.09550454649188758,114.20909208875815,1.0682070884346684,78.67080745341615,38.23002360670137,143.63650718458868,0.8979641995451518,40.745341614906835,23.758493087500728,198.79573170731706,1.6943270870268712
543592,Austin Nola,6.0,77.0,103.0,34.0,11.0,0.0,3.0,55.0,32.0,1.0,73.0,5.0,300.0,7.0,53.0,4.0,345.0,93.0,130.0,0.0,8.0,2.0,0.243,0.319,0.31,0.629,34.0,0.75,0.15942028985507245,0.008695652173913044,0.21159420289855072,0.09855072463768116,0.28,0.24486335403726708,0.034484144344613284,99.23902290541055,-0.05403509562672856,0.29410776537452055,0.03993361395671118,95.20319861104126,-0.35328045665522817,0.7179813664596273,0.09550454649188758,87.60673039491328,-0.9316977016082225,78.67080745341615,38.23002360670137,92.7917258803095,-0.14833387265871592,40.745341614906835,23.758493087500728,83.4451219512195,-0.28391285550241985
673490,Ha-Seong Kim,110.0,114.0,132.0,49.0,25.0,3.0,8.0,87.0,44.0,0.0,111.0,6.0,440.0,2.0,9.0,9.0,494.0,166.0,183.0,1.0,3.0,0.0,0.252,0.327,0.377,0.704,51.0,0.86,0.17611336032388664,0.016194331983805668,0.22469635627530365,0.10323886639676114,0.2959770114942529,0.24486335403726708,0.034484144344613284,102.91454227227761,0.20695441625036937,0.29410776537452055,0.03993361395671118,100.63556503424927,0.04680883933416659,0.7179813664596273,0.09550454649188758,98.05268393961677,-0.14639477358090955,78.67080745341615,38.23002360670137,141.0942681193747,0.8456492959349584,40.745341614906835,23.758493087500728,125.16768292682927,0.4316207407315791
630105,Jake Cronenworth,2.0,102.0,176.0,80.0,26.0,3.0,15.0,114.0,62.0,3.0,124.0,16.0,510.0,0.0,2.0,1.0,597.0,201.0,198.0,0.0,6.0,3.0,0.243,0.34,0.394,0.734,72.0,0.58,0.19095477386934673,0.02512562814070352,0.20770519262981574,0.12060301507537688,0.28165374677002586,0.24486335403726708,0.034484144344613284,99.23902290541055,-0.05403509562672856,0.29410776537452055,0.03993361395671118,95.7654914046096,-0.3118680572711272,0.7179813664596273,0.09550454649188758,102.23106535749818,0.1677263976300161,78.67080745341615,38.23002360670137,157.61882204326545,1.1856961694012154,40.745341614906835,23.758493087500728,176.7073170731707,1.3155151831382836
595751,Jorge Alfaro,10.0,52.0,43.0,25.0,13.0,0.0,7.0,92.0,10.0,0.0,61.0,4.0,245.0,5.0,23.0,5.0,262.0,95.0,116.0,0.0,3.0,0.0,0.249,0.286,0.388,0.674,38.0,1.21,0.3511450381679389,0.026717557251908396,0.23282442748091603,0.1450381679389313,0.3624161073825503,0.24486335403726708,0.034484144344613284,101.68936914998858,0.11995791229133672,0.29410776537452055,0.03993361395671118,123.22561661064782,1.7105474621474865,0.7179813664596273,0.09550454649188758,93.87430252173537,-0.460515944791834,78.67080745341615,38.23002360670137,77.53829148902575,-0.46222329431987624,40.745341614906835,23.758493087500728,93.26219512195122,-0.11555200932971421
