,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Houston Astros,1,91,50,-,-,-,-,-,117,1,1
1,Seattle Mariners,2,79,61,11.5,1,+0.5,-,11,136,3,3
2,Los Angeles Angels,3,61,80,30.0,8,18.0,4,E,108,11,11
3,Texas Rangers,4,61,80,30.0,9,18.0,4,E,140,12,12
4,Oakland Athletics,5,51,90,40.0,12,28.0,E,E,133,15,15
0,New York Yankees,1,85,56,-,-,-,-,-,147,2,2
1,Tampa Bay Rays,2,79,61,5.5,2,+0.5,-,17,139,4,4
2,Toronto Blue Jays,3,79,62,6.0,3,-,-,16,141,5,5
3,Baltimore Orioles,4,73,67,11.5,4,5.5,17,11,110,7,7
4,Boston Red Sox,5,69,72,16.0,7,10.0,12,6,111,10,10
0,Cleveland Guardians,1,74,65,-,-,-,-,-,114,6,6
1,Chicago White Sox,2,72,69,3.0,5,7.0,15,20,145,8,8
2,Minnesota Twins,3,69,70,5.0,6,9.0,14,19,142,9,9
3,Kansas City Royals,4,57,84,18.0,10,22.0,E,5,118,13,13
4,Detroit Tigers,5,54,87,21.0,11,25.0,E,2,116,14,14
