,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,101,44,-,-,-,-,-,119,1,1
1,San Diego Padres,2,81,66,21.0,2,+0.5,-,E,135,5,5
2,San Francisco Giants,3,69,77,32.5,5,11.0,6,E,137,8,8
3,Arizona Diamondbacks,4,68,78,33.5,6,12.0,5,E,109,9,9
4,Colorado Rockies,5,64,82,37.5,7,16.0,1,E,115,10,10
0,New York Mets,1,93,55,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,91,55,1.0,1,+11.0,-,15,144,3,3
2,Philadelphia Phillies,3,80,66,12.0,3,-,-,4,143,6,6
3,Miami Marlins,4,60,87,32.5,9,20.5,E,E,146,12,12
4,Washington Nationals,5,51,95,41.0,12,29.0,E,E,120,15,15
0,St. Louis Cardinals,1,87,61,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,78,68,8.0,4,2.0,15,8,158,7,7
2,Chicago Cubs,3,62,84,24.0,8,18.0,E,E,112,11,11
3,Cincinnati Reds,4,58,89,28.5,10,22.5,E,E,113,13,13
4,Pittsburgh Pirates,5,55,92,31.5,11,25.5,E,E,134,14,14
