,playername,gamesPlayed,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,atBats,caughtStealing,stolenBases,groundIntoDoublePlay,plateAppearances,totalBases,leftOnBase,sacBunts,sacFlies,catchersInterference,avg,obp,slg,ops,rbi,groundOutsToAirouts,strikeOutsperplateAppearance,homeRunsperplateAppearance,babip,normalized_avg,normalized_ops
542303,Marcell Ozuna,65.0,97.0,126.0,50.0,14.0,0.0,20.0,109.0,27.0,0.0,89.0,2.0,417.0,1.0,2.0,11.0,450.0,163.0,191.0,0.0,4.0,0.0,0.213,0.262,0.391,0.653,46.0,0.77,0.24222222222222223,0.044444444444444446,0.2363013698630137,86.62504296024746,90.4555653107014
621566,Matt Olson,128.0,119.0,123.0,69.0,41.0,0.0,27.0,130.0,61.0,5.0,127.0,3.0,496.0,0.0,0.0,10.0,563.0,249.0,212.0,0.0,3.0,0.0,0.256,0.339,0.502,0.841,87.0,0.97,0.23090586145648312,0.047957371225577264,0.29239766081871343,104.1127276893115,116.49790264364452
671739,Harris II,81.0,85.0,39.0,55.0,20.0,2.0,13.0,81.0,15.0,0.0,83.0,5.0,288.0,0.0,15.0,3.0,308.0,146.0,92.0,0.0,0.0,0.0,0.288,0.334,0.507,0.841,45.0,2.18,0.262987012987013,0.04220779220779221,0.36082474226804123,117.12681865047543,116.49790264364452
660670,Acuna Jr.,14.0,92.0,74.0,57.0,17.0,0.0,10.0,94.0,45.0,2.0,97.0,9.0,354.0,10.0,25.0,5.0,411.0,144.0,109.0,0.0,3.0,0.0,0.274,0.367,0.407,0.774,35.0,1.24,0.22871046228710462,0.024330900243309004,0.3438735177865613,111.43315385496622,107.21685689201055
518595,Travis d'Arnaud,3.0,87.0,72.0,47.0,19.0,1.0,14.0,66.0,16.0,0.0,81.0,8.0,306.0,11.0,39.0,9.0,330.0,144.0,109.0,0.0,0.0,0.0,0.265,0.318,0.471,0.789,50.0,1.21,0.2,0.04242424242424243,0.29646017699115046,107.77294077213885,109.29470295580921
661388,William Contreras,21.0,70.0,38.0,40.0,11.0,1.0,17.0,73.0,29.0,1.0,69.0,0.0,250.0,5.0,29.0,5.0,279.0,133.0,108.0,0.0,0.0,1.0,0.276,0.351,0.532,0.883,37.0,1.84,0.2616487455197133,0.06093189964157706,0.325,112.24653454003897,122.31587162228077
664761,Alec Bohm,8.0,122.0,113.0,64.0,19.0,2.0,10.0,91.0,24.0,1.0,132.0,3.0,450.0,3.0,1.0,13.0,485.0,185.0,176.0,0.0,8.0,0.0,0.293,0.328,0.411,0.739,59.0,1.08,0.18762886597938144,0.020618556701030927,0.34173669467787116,119.16027036315731,102.36854940981368
547180,Bryce Harper,57.0,60.0,61.0,50.0,21.0,1.0,15.0,52.0,28.0,6.0,79.0,3.0,248.0,2.0,9.0,9.0,283.0,147.0,96.0,0.0,4.0,0.0,0.319,0.389,0.593,0.982,50.0,0.98,0.18374558303886926,0.053003533568904596,0.34594594594594597,129.734219269103,136.02965564335187
681082,Bryson Stott,52.0,86.0,103.0,41.0,14.0,2.0,8.0,60.0,26.0,0.0,73.0,1.0,322.0,3.0,8.0,3.0,349.0,115.0,155.0,0.0,0.0,0.0,0.227,0.287,0.357,0.644,39.0,0.83,0.17191977077363896,0.022922636103151862,0.2559055118110236,92.31870775575669,89.20885767242221
592663,J.T. Realmuto,2.0,97.0,100.0,59.0,22.0,5.0,14.0,93.0,32.0,0.0,107.0,10.0,393.0,22.0,35.0,6.0,439.0,181.0,162.0,0.0,4.0,0.0,0.272,0.339,0.461,0.8,64.0,0.97,0.21184510250569477,0.03189066059225513,0.32068965517241377,110.61977316989349,110.81845673592822
