,playername,gamesPlayed,gamesStarted,assists,putOuts,errors,chances,fielding,rangeFactorPerGame,rangeFactorPer9Inn,innings,games,doublePlays,triplePlays,throwingErrors,groundOuts,airOuts,runs,doubles,triples,homeRuns,strikeOuts,baseOnBalls,intentionalWalks,hits,hitByPitch,avg,atBats,obp,slg,ops,caughtStealing,stolenBases,stolenBasePercentage,groundIntoDoublePlay,numberOfPitches,plateAppearances,totalBases,rbi,leftOnBase,sacBunts,sacFlies,babip,groundOutsToAirouts,catchersInterference,atBatsPerHomeRun,era,inningsPitched,wins,losses,saves,saveOpportunities,holds,blownSaves,earnedRuns,whip,battersFaced,outs,gamesPitched,completeGames,shutouts,strikes,strikePercentage,hitBatsmen,balks,wildPitches,pickoffs,winPercentage,pitchesPerInning,gamesFinished,strikeoutWalkRatio,strikeoutsPer9Inn,walksPer9Inn,hitsPer9Inn,runsScoredPer9,homeRunsPer9,inheritedRunners,inheritedRunnersScored,passedBall,catcherERA
663656,Kyle Tucker,3,3,0,0,0,0,.000,0.00,-.--,0.0,3,0,0,0,124,176,70,28,1,29,94,59,4,138,1,.260,530,.334,.481,.815,4,25,.862,11,2209,595,255,104,241,0,2,.267,0.70,3,18.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621121,McCullers Jr.,7,7,2,2,0,4,1.000,0.57,0.88,41.2,7,0,0,0,43,33,11,8,0,3,45,21,0,31,0,.205,151,.301,.318,.619,1,2,.667,3,665,,48,,,0,1,,1.30,0,,2.38,41.2,4,1,0,0,0,0,11,1.25,173,125,7,0,0,404,.610,0,0,1,0,.800,15.96,0,2.14,9.72,4.54,6.70,2.38,0.65,0,0,,
671277,Luis Garcia,87,58,128,69,13,210,.938,3.34,3.52,503.1,59,27,0,10,109,65,26,21,2,6,76,11,1,92,1,.273,337,.295,.401,.696,4,3,.429,5,1238,354,135,39,144,1,4,.332,1.68,0,56.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
455117,Martin Maldonado,109,106,46,987,2,1035,.998,9.48,10.07,923.2,109,3,0,2,84,84,39,12,0,14,111,22,0,62,7,.185,336,.248,.345,.593,0,0,.---,6,1470,370,116,44,167,3,2,.225,1.00,0,24.00,,,,,,,,,,,,,,,,,,,,31,1,,,,,,,,,,,,9,2.97
643289,Mauricio Dubon,21,0,0,0,0,0,.000,0.00,-.--,0.0,1,0,0,0,10,23,10,1,0,2,4,1,0,11,0,.239,46,.245,.391,.636,0,0,.---,0,149,49,18,8,32,0,2,.214,0.43,0,23.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
664208,Phil Maton,65,0,6,2,1,9,.889,0.12,1.13,64.1,65,1,0,1,56,61,32,8,1,10,70,22,2,55,7,.231,238,.311,.399,.710,1,2,.667,7,1042,,95,,,1,3,,0.92,0,,3.64,64.1,0,2,0,2,13,2,26,1.20,271,193,65,0,0,676,.650,7,0,0,0,.000,16.20,9,3.18,9.79,3.08,7.69,4.48,1.40,27,5,,
606160,Rafael Montero,68,0,5,2,1,8,.875,0.10,0.97,65.2,68,1,0,1,67,52,22,7,1,3,71,21,2,46,2,.196,235,.267,.272,.539,0,8,1.000,9,1051,,64,,,1,0,,1.29,0,,2.47,65.2,5,2,13,15,21,2,18,1.02,259,197,68,0,0,670,.640,2,0,1,0,.714,16.01,24,3.38,9.73,2.88,6.30,3.02,0.41,19,4,,
519151,Ryan Pressly,48,0,3,2,0,5,1.000,0.10,0.98,46.1,48,0,0,0,40,32,16,2,1,4,61,11,0,29,0,.182,159,.234,.283,.517,1,0,.000,6,668,,45,,,2,1,,1.25,0,,2.91,46.1,3,3,31,35,0,4,15,0.86,173,139,48,0,0,431,.650,0,0,0,0,.500,14.42,41,5.55,11.85,2.14,5.63,3.11,0.78,7,2,,
592773,Ryne Stanek,57,0,1,0,0,1,1.000,0.02,0.17,52.2,57,0,0,0,36,55,8,7,0,2,60,30,1,35,0,.190,184,.301,.261,.562,2,4,.667,5,862,,48,,,0,2,,0.65,0,,1.20,52.2,2,1,1,5,15,4,7,1.23,216,158,57,0,0,525,.610,0,0,4,0,.667,16.37,10,2.00,10.25,5.13,5.98,1.37,0.34,22,9,,
641820,Trey Mancini,20,18,0,0,0,0,.000,0.00,-.--,0.0,20,0,0,0,36,45,17,7,0,8,45,18,0,28,1,.184,152,.272,.388,.660,0,0,.---,4,702,173,59,22,67,0,2,.198,0.80,0,19.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
669257,Will Smith,134,24,0,0,0,0,.000,0.00,-.--,0.0,25,0,0,0,100,175,68,26,3,24,93,56,4,132,10,.266,496,.350,.476,.826,0,1,1.000,11,2323,566,236,87,242,0,4,.282,0.57,0,20.67,,,,,,,,,,,,,,,,,,,,28,1,,,,,,,,,,,,4,2.59
670541,Yordan Alvarez,130,73,0,0,0,0,.000,0.00,-.--,0.0,73,0,0,0,115,105,93,26,2,37,101,77,9,138,6,.305,452,.408,.617,1.025,1,1,.500,12,2132,542,279,96,204,0,7,.315,1.10,0,12.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
