,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,94,42,-,-,-,-,-,119,1,1
1,San Diego Padres,2,76,62,19.0,2,+0.5,-,7,135,5,5
2,Arizona Diamondbacks,3,65,71,29.0,5,9.5,17,E,109,8,8
3,San Francisco Giants,4,65,72,29.5,6,10.0,16,E,137,9,9
4,Colorado Rockies,5,59,79,36.0,7,16.5,9,E,115,10,10
0,New York Mets,1,87,51,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,86,51,0.5,1,+11.0,-,25,144,3,3
2,Philadelphia Phillies,3,75,62,11.5,3,-,-,14,143,6,6
3,Miami Marlins,4,56,80,30.0,9,18.5,8,E,146,12,12
4,Washington Nationals,5,49,89,38.0,12,26.5,E,E,120,15,15
0,St. Louis Cardinals,1,81,57,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,73,65,8.0,4,2.5,23,17,158,7,7
2,Chicago Cubs,3,57,80,23.5,8,18.0,8,2,112,11,11
3,Cincinnati Reds,4,55,80,24.5,10,19.0,8,2,113,13,13
4,Pittsburgh Pirates,5,50,86,30.0,11,24.5,2,E,134,14,14
