,name,div_rank,w,l,gb,wc_rank,wc_gb,wc_elim_num,elim_num,team_id,league_rank,sport_rank
0,Los Angeles Dodgers,1,93,42,-,-,-,-,-,119,1,1
1,San Diego Padres,2,75,62,19.0,3,-,-,8,135,6,6
2,San Francisco Giants,3,65,69,27.5,5,8.5,20,1,137,8,8
3,Arizona Diamondbacks,4,65,70,28.0,6,9.0,19,E,109,9,9
4,Colorado Rockies,5,58,79,36.0,7,17.0,10,E,115,10,10
0,New York Mets,1,86,51,-,-,-,-,-,121,2,2
1,Atlanta Braves,2,85,51,0.5,1,+10.5,-,26,144,3,3
2,Philadelphia Phillies,3,74,61,11.0,2,-,-,16,143,5,5
3,Miami Marlins,4,55,79,29.5,9,18.5,10,E,146,12,12
4,Washington Nationals,5,48,88,37.5,12,26.5,1,E,120,15,15
0,St. Louis Cardinals,1,80,56,-,-,-,-,-,138,4,4
1,Milwaukee Brewers,2,71,64,8.5,4,3.0,25,19,158,7,7
2,Chicago Cubs,3,57,78,22.5,8,17.0,11,5,112,11,11
3,Cincinnati Reds,4,53,80,25.5,10,20.0,9,3,113,13,13
4,Pittsburgh Pirates,5,50,85,29.5,11,24.0,4,E,134,14,14
